Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Swim,Cycle,Run,race_name,race_large_logo,race_category,runner_id,race_link
151,P463,PRIGEL FEBIANA,02:34:56,P (Women 38-43),12,Female,32,Indonesia,00:23:31,01:10:12,00:47:35,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39136,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
152,T500,WIDI PURI,02:36:05,T (Women 50-100),4,Female,33,Indonesia,00:27:39,01:09:02,00:47:16,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39173,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
153,T497,CECIELIA SUWARSA,02:36:31,T (Women 50-100),5,Female,34,Indonesia,00:26:14,01:16:59,00:42:36,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39170,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
154,M324,ACHMAD IRVAN,02:36:50,M (Men 32-37),29,Male,120,Indonesia,00:31:28,01:04:25,00:49:10,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-38997,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
155,R475,LEKA MADIADIPOERA,02:37:29,R (Women 44-49),5,Female,35,Indonesia,00:25:29,01:19:49,00:41:14,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39148,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
156,Q406,MUHAMMAD FARHAN,02:38:27,Q (Men 44-49),21,Male,121,Indonesia,00:26:47,01:07:28,00:48:01,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39079,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
157,Q392,FAIZAL ADIPUTRA,02:38:27,Q (Men 44-49),22,Male,122,Indonesia,00:23:26,01:14:41,00:46:25,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39065,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
158,P461,ARSIYANTI ARDIE,02:38:38,P (Women 38-43),13,Female,36,Indonesia,00:11:48,01:14:14,00:55:47,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39134,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
159,K284,ARDINATHA SANJAYA PUTRA,02:38:59,K (Men 16-31),27,Male,123,Indonesia,00:23:39,01:19:16,00:44:29,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-38957,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
160,T493,INDRAWATI SUYUDI,02:39:35,T (Women 50-100),6,Female,37,Indonesia,00:25:47,01:10:59,00:48:27,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39166,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
161,M330,RONALD SITOMPUL,02:39:57,M (Men 32-37),30,Male,124,Indonesia,00:26:01,01:13:51,00:43:55,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39003,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
162,P467,NINA SETYAWATI,02:40:07,P (Women 38-43),14,Female,38,Indonesia,00:23:46,01:13:25,00:48:54,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39140,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
163,Q391,IWAN PURWANTO,02:40:44,Q (Men 44-49),23,Male,125,Indonesia,00:30:15,01:12:41,00:44:45,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39064,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
164,Q401,FERRY WIDYAHADI WIRAATMADJA,02:40:57,Q (Men 44-49),24,Male,126,Indonesia,00:26:13,01:11:31,00:50:47,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39074,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
165,Q398,REMIEL ANDRIYANTO SUDIRMAN,02:41:54,Q (Men 44-49),25,Male,127,Indonesia,00:27:25,01:15:27,00:44:15,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39071,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
166,R485,ROSI WIDODO,02:42:17,R (Women 44-49),6,Female,39,Indonesia,00:25:34,01:14:18,00:48:45,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39158,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
167,510,VIYATA PERMANI DEVI,02:42:34,R (Women 44-49),7,Female,40,,00:21:18,01:15:22,00:54:15,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39183,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
168,T499,RATNA MARINI MARAMIS,02:43:07,T (Women 50-100),7,Female,41,Indonesia,00:25:38,01:17:16,00:44:41,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39172,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
169,S426,ALI HAFID NASUTION,02:43:18,S (Men 50-100),14,Male,128,Indonesia,,01:04:10,00:49:29,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39099,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
170,R486,FIA ARIFIN,02:44:43,R (Women 44-49),8,Female,42,Indonesia,00:29:41,01:09:51,00:50:31,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39159,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
171,K288,ERIC HANDOKO,02:45:09,K (Men 16-31),28,Male,129,Indonesia,00:24:35,01:17:32,00:48:53,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-38961,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
