Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Swim,Cycle,Run,race_name,race_large_logo,race_category,runner_id,race_link
101,F255,KARRIE MCLAUGHLIN,03:52:19,F (Women 38-43),2,Female,14,United States,00:44:45,01:35:53,01:20:42,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-2-38935,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
102,E137,AHMAD SHALAHUDDIN ZULFA,03:52:32,E (Men 38-43),26,Male,88,Indonesia,00:42:41,01:37:09,01:21:01,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-2-38817,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
103,C91,JEREMY SEBASTIAN,03:52:40,C (Men 32-37),17,Male,89,Indonesia,00:49:40,01:29:06,01:22:19,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-2-38771,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
104,C114,RIYO HANGGORO PRASETYO,03:52:41,C (Men 32-37),18,Male,90,Indonesia,00:56:24,01:27:32,01:18:59,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-2-38794,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
105,H258,NANI SUTARMAN,03:52:48,H (Women 44-49),2,Female,15,Indonesia,00:45:49,01:39:46,01:18:12,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-2-38938,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
106,C97,FAJAR ROHANI MEGA WIDHARTA,03:53:37,C (Men 32-37),19,Male,91,Indonesia,00:39:31,01:36:56,01:25:00,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-2-38777,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
107,F257,EVELYN HENDARTA,03:54:31,F (Women 38-43),3,Female,16,Indonesia,00:46:59,01:39:00,01:17:21,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-2-38937,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
108,E163,AYEP GUNAWAN,03:55:12,E (Men 38-43),27,Male,92,Indonesia,00:52:22,01:29:45,01:23:11,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-2-38843,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
109,A 68,KENNEY KURNIAWAN,03:55:43,A (Men 16-31),17,Male,93,Indonesia,00:56:06,01:30:12,01:21:59,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-2-38748,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
110,A 55,NOVI NURHADI,03:55:57,A (Men 16-31),18,Male,94,Indonesia,00:48:07,01:24:15,01:33:31,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-2-38735,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
