Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Swim,Cycle,Run,race_name,race_large_logo,race_category,runner_id,race_link
1,G74,FAUZI FANNYLA,01:02:46,Top 5 Men,1,Male,1,Indonesia,00:07:48,00:32:27,00:20:12,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10915,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
2,G84,SETA IDIAPRATMA,01:03:12,Top 5 Men,2,Male,2,Indonesia,00:09:47,00:32:24,00:18:22,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10925,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
3,G87,HARI ROHMAN,01:03:48,Top 5 Men,3,Male,3,Indonesia,00:10:13,00:32:13,00:18:55,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10928,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
4,127,MUHAMMAD TAUFIK,01:06:14,Top 5 Men,4,Male,4,Indonesia,00:08:33,00:33:51,00:21:21,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10968,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
5,G75,LOURENZHO ADHETYA SINAGA,01:06:40,Top 5 Men,5,Male,5,Indonesia,00:10:45,00:34:30,00:18:55,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10916,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
6,I94,MAWAR ASMARA,01:08:16,I (MEN 31 - 40),1,Male,6,Indonesia,00:10:38,00:34:44,00:20:13,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10935,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
7,I91,FRADA SALEH HARAHAP,01:08:36,I (MEN 31 - 40),2,Male,7,Indonesia,00:09:07,00:35:54,00:20:31,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10932,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
8,G86,NUR ROHMAN,01:08:52,G (MEN 30 thn ke bawah),1,Male,8,Indonesia,00:10:10,00:32:17,00:23:53,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10927,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
9,G88,FEBRAM YULKHAIRIL,01:09:15,G (MEN 30 thn ke bawah),2,Male,9,Indonesia,00:11:14,00:34:05,00:21:10,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10929,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
10,130,WELLY SETYO NUGROHO,01:09:47,G (MEN 30 thn ke bawah),3,Male,10,Indonesia,00:12:00,00:33:08,00:21:39,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10971,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
