Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Swim,Cycle,Run,race_name,race_large_logo,race_category,runner_id,race_link
1,145,JAKARTA THREE,01:57:34,RELAY,1,Mixed,1,,00:16:08,01:03:11,00:36:02,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-3-10987,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
2,142,KGB,01:59:00,RELAY,2,Mixed,2,,00:18:16,01:02:45,00:35:52,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-3-10984,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
3,143,FTI SUMSEL,02:01:56,RELAY,3,Mixed,3,,00:18:31,01:05:06,00:36:08,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-3-10985,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
4,146,PASMAR JAKARTA,02:05:11,RELAY,4,Mixed,4,,00:19:16,01:06:38,00:37:31,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-3-10988,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
5,149,ALSUT,02:07:39,RELAY,5,Mixed,5,,00:15:19,01:08:43,00:41:31,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-3-10991,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
6,147,YONTAIFIB JKT,02:08:39,RELAY,6,Mixed,6,,00:20:45,01:05:53,00:40:01,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-3-10989,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
7,144,TEAM IGM SOLO,02:09:42,RELAY,7,Mixed,7,,00:20:45,,02:09:42,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-3-10986,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
8,157,PASMAR SURABAYA,02:12:10,RELAY,8,Mixed,8,,00:20:59,,02:12:10,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-3-10999,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
9,148,DENJAKA MARINIR,02:17:38,RELAY,9,Mixed,9,,00:22:08,,02:17:38,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-3-10990,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
10,154,HARDHA DEDALI B,02:31:40,RELAY,10,Mixed,10,,00:22:06,01:15:22,00:52:06,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-3-10996,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
