Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Swim,Cycle,Run,race_name,race_large_logo,race_category,runner_id,race_link
1,C22,ANDY WIBOWO,02:01:34,Top 5 Men,1,Male,1,Indonesia,00:16:30,01:02:31,00:39:54,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10863,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
2,C19,YAN BAHTIAR,02:12:17,Top 5 Men,2,Male,2,Indonesia,00:22:05,01:04:01,00:43:03,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10860,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
3,A9,RORI SATRIA PUTRA,02:16:02,Top 5 Men,3,Male,3,Indonesia,00:23:17,01:09:30,00:40:43,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10850,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
4,F53,ISABELLA BOYER MOULIN,02:16:54,Top 5 Women,1,Female,1,France,00:20:13,01:05:50,00:47:46,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10894,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
5,57,DEDI PRISTIOKO,02:18:46,Top 5 Men,4,Male,4,Indonesia,00:22:22,01:03:59,00:49:28,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10898,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
6,D50,INGE PRASETYO,02:19:03,Top 5 Women,2,Female,2,Indonesia,00:21:12,01:07:59,00:46:19,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10891,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
7,A1,ROY WIJAYA,02:19:14,Top 5 Men,5,Male,5,Indonesia,00:20:35,01:05:46,00:50:05,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10842,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
8,56,M ANI HERU WIJANARTO,02:28:56,A (MEN 30 thn ke bawah),1,Male,6,Indonesia,00:22:51,01:09:11,00:53:18,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10897,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
9,C23,SOLIHIN SOLIHIN,02:30:22,C (MEN 31 - 40),1,Male,7,Indonesia,00:28:56,01:10:48,00:47:42,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10864,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
10,C13,JUARATTA NM SIANTURI,02:30:23,C (MEN 31 - 40),2,Male,8,Indonesia,00:27:51,01:12:22,00:46:19,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10854,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
11,C17,YIGIT SARICINAR,02:30:32,C (MEN 31 - 40),3,Male,9,Turkey,00:23:21,01:09:07,00:54:51,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10858,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
12,A4,GERRY ALVIANTO,02:32:02,E (MEN 41 thn ke atas),1,Male,10,Indonesia,00:28:38,,00:48:39,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10845,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
13,A7,MOCHAMMAD RIDWAN,02:35:11,A (MEN 30 thn ke bawah),2,Male,11,Indonesia,00:25:31,01:14:20,00:51:38,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10848,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
14,E38,TIMO FRANCISCUS,02:36:07,E (MEN 41 thn ke atas),2,Male,12,Indonesia,00:24:58,01:13:50,00:52:48,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10879,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
15,E35,STEVEN THESMAN,02:39:05,E (MEN 41 thn ke atas),3,Male,13,Indonesia,00:29:50,01:09:00,00:54:08,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10876,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
16,A6,ALI MUKHSININ,02:39:47,A (MEN 30 thn ke bawah),3,Male,14,Indonesia,00:25:56,01:18:17,00:51:23,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10847,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
17,C14,RUDIANTO TAKAREDASE,02:39:57,C (MEN 31 - 40),4,Male,15,Indonesia,00:26:19,01:12:38,00:57:16,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10855,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
18,A5,ADHITYA FADRYANA BUDIMAN,02:40:04,A (MEN 30 thn ke bawah),4,Male,16,Indonesia,00:29:19,01:09:28,00:57:13,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10846,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
19,E31,SUSANTO SUSANTO,02:43:09,E (MEN 41 thn ke atas),4,Male,17,Indonesia,00:27:30,01:15:55,00:55:53,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10872,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
20,C27,CLEMENT AHIEKPOR,02:43:53,C (MEN 31 - 40),5,Male,18,France,00:28:50,01:10:10,01:01:11,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10868,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
21,A8,DANI HERMAWAN,02:45:38,A (MEN 30 thn ke bawah),5,Male,19,Indonesia,00:27:29,01:14:40,01:00:03,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10849,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
22,A3,DARMULYO DARMULYO,02:48:26,A (MEN 30 thn ke bawah),6,Male,20,Indonesia,00:28:10,01:13:57,01:02:27,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10844,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
23,D51,HELEN SUSANTO,02:49:27,Top 5 Women,3,Female,3,Indonesia,00:30:33,01:17:18,00:56:26,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10892,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
24,C21,JOHNY YIPWANG,02:50:24,C (MEN 31 - 40),6,Male,21,Indonesia,00:29:04,01:11:02,01:04:53,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10862,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
25,E32,HERRY HARTIO,02:51:40,E (MEN 41 thn ke atas),5,Male,22,Indonesia,00:32:26,01:10:19,01:04:08,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10873,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
