Pos,Race No,Name,Time,Net Time,Gender,Gen Pos,Team,race_name,race_large_logo,race_category,runner_id,race_link
51,373,Sandi Wibowo,04:44:11,04:43:47,Male,48,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11361,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
52,714,Gde Sugiharta,04:46:14,04:42:10,Male,49,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11492,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
53,861,Birbinmas,04:46:46,04:46:44,Male,50,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11596,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
54,193,Gusti Noor,04:46:48,04:44:24,Male,51,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11202,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
55,286,Wicaksono Aji,04:47:27,04:47:12,Male,52,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11289,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
56,839,Tri Budi Julianto,04:48:33,04:48:09,Male,53,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11570,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
57,802,Ace,04:49:19,04:45:29,Female,4,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11602,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
58,782,Albert Budiarso,04:51:51,04:50:25,Male,54,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11522,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
59,209,Muhamad Mahful,04:57:23,04:56:42,Male,55,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11217,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
60,806,Wahyudi,05:05:47,05:01:56,Male,56,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11541,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
