Pos,Race No,Name,Time,Gender,Gen Pos,Laps,Fastest Lap,Slowest Lap,Average Lap,race_name,race_large_logo,race_category,runner_id,race_link
1,6007,TEAM RADISSON BLU BALI ULUWATU,02:49:55,Mixed,1,17,00:08:57,00:10:59,00:09:59,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-3-41144,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
2,6009,TEAM DWINDRA,02:55:39,Mixed,2,14,00:10:53,00:15:28,00:12:32,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-3-41145,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
3,6013,TEAM ANTARABUDI,02:54:29,Mixed,3,13,00:11:42,00:15:16,00:13:25,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-3-41147,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
4,6019,TEAM KILLOMETERS,02:54:44,Mixed,4,12,00:11:04,00:17:41,00:14:33,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-3-41150,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
5,6023,TEAM PAULADI,02:59:17,Mixed,5,12,00:11:32,00:23:34,00:14:56,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-3-41152,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
6,6005,TEAM ARIEDY,02:54:27,Mixed,6,11,00:11:28,00:22:24,00:15:51,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-3-41143,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
7,6017,TEAM BNB,02:54:28,Mixed,7,11,00:12:12,00:18:48,00:15:51,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-3-41149,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
8,6011,TEAM YULIAGUS,02:45:51,Mixed,8,10,00:11:52,00:20:44,00:16:35,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-3-41146,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
9,6001,TEAM MITADEWI,02:48:29,Mixed,9,10,00:13:53,00:21:06,00:16:50,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-3-41141,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
10,6025,TEAM RND,02:55:16,Mixed,10,10,00:14:44,00:21:35,00:17:31,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-3-41153,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
11,6003,TEAM ENONITA,02:49:40,Mixed,11,9,00:17:10,00:21:42,00:18:51,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-3-41142,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
12,6021,TEAM JUST DO IT,02:07:56,Mixed,12,8,00:11:50,00:27:16,00:15:59,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-3-41151,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
13,6015,TEAM COCOMEO,02:44:23,Mixed,13,8,00:15:28,00:28:16,00:20:32,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-3-41148,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
