Pos,Race No,Name,Time,Category,Cat Pos,Gender,Gen Pos,race_name,race_large_logo,race_category,runner_id,race_link
1,3006,JAKOB KIBIWOT KITUR,01:05:14,OPEN,1,Male,1,Central Celebes Marathon,https://images.racetec.net/results/racelogo/19723/19723_30.jpg,Half Marathon International,http://results.scorenow.co.id/myresults.aspx?uid=19723-30-6-46385,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30
2,3004,SAMSON KAREGA KAMAU,01:06:20,OPEN,2,Male,2,Central Celebes Marathon,https://images.racetec.net/results/racelogo/19723/19723_30.jpg,Half Marathon International,http://results.scorenow.co.id/myresults.aspx?uid=19723-30-6-46383,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30
3,3030,SUDARMIN,01:17:50,OPEN,3,Male,3,Central Celebes Marathon,https://images.racetec.net/results/racelogo/19723/19723_30.jpg,Half Marathon International,http://results.scorenow.co.id/myresults.aspx?uid=19723-30-6-46409,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30
4,3007,JEPKOSGEI NAUM,01:17:55,OPEN,1,Female,1,Central Celebes Marathon,https://images.racetec.net/results/racelogo/19723/19723_30.jpg,Half Marathon International,http://results.scorenow.co.id/myresults.aspx?uid=19723-30-6-46386,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30
5,3008,TAJUDIN,01:49:06,OPEN,4,Male,4,Central Celebes Marathon,https://images.racetec.net/results/racelogo/19723/19723_30.jpg,Half Marathon International,http://results.scorenow.co.id/myresults.aspx?uid=19723-30-6-46387,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30
6,3003,ALDI MARINGKA,02:04:30,OPEN,5,Male,5,Central Celebes Marathon,https://images.racetec.net/results/racelogo/19723/19723_30.jpg,Half Marathon International,http://results.scorenow.co.id/myresults.aspx?uid=19723-30-6-46382,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30
7,3029,SUNARTO,02:09:22,OPEN,6,Male,6,Central Celebes Marathon,https://images.racetec.net/results/racelogo/19723/19723_30.jpg,Half Marathon International,http://results.scorenow.co.id/myresults.aspx?uid=19723-30-6-46408,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30
8,3002,YU CHING CALVIN TANG,02:14:41,OPEN,7,Male,7,Central Celebes Marathon,https://images.racetec.net/results/racelogo/19723/19723_30.jpg,Half Marathon International,http://results.scorenow.co.id/myresults.aspx?uid=19723-30-6-46381,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30
9,3028,YUNITA LIMGUNA,02:15:57,OPEN,2,Female,2,Central Celebes Marathon,https://images.racetec.net/results/racelogo/19723/19723_30.jpg,Half Marathon International,http://results.scorenow.co.id/myresults.aspx?uid=19723-30-6-46407,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30
10,3009,AYU MUSTIKA PERDANA,02:20:36,OPEN,3,Female,3,Central Celebes Marathon,https://images.racetec.net/results/racelogo/19723/19723_30.jpg,Half Marathon International,http://results.scorenow.co.id/myresults.aspx?uid=19723-30-6-46388,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30
11,3010,MAYALISA DIANTAMAELA ABIKUSNO,02:43:24,OPEN,4,Female,4,Central Celebes Marathon,https://images.racetec.net/results/racelogo/19723/19723_30.jpg,Half Marathon International,http://results.scorenow.co.id/myresults.aspx?uid=19723-30-6-46389,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30
