Pos,Race No,Name,Time,Category,Cat Pos,Gender,Gen Pos,race_name,race_large_logo,race_category,runner_id,race_link
1,1010,EDWIN KIPTANUI KICHWEN,02:32:00,OPEN,1,Male,1,Central Celebes Marathon,https://images.racetec.net/results/racelogo/19723/19723_30.jpg,Marathon International,http://results.scorenow.co.id/myresults.aspx?uid=19723-30-5-46189,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30
2,1001,PETER KETER,02:32:34,OPEN,2,Male,2,Central Celebes Marathon,https://images.racetec.net/results/racelogo/19723/19723_30.jpg,Marathon International,http://results.scorenow.co.id/myresults.aspx?uid=19723-30-5-46180,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30
3,1005,LABAN KIPKEMOI MOIBEN,02:33:06,OPEN,3,Male,3,Central Celebes Marathon,https://images.racetec.net/results/racelogo/19723/19723_30.jpg,Marathon International,http://results.scorenow.co.id/myresults.aspx?uid=19723-30-5-46184,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30
4,1012,CYPRIAN KIOGORA MWOBI,02:38:20,OPEN,4,Male,4,Central Celebes Marathon,https://images.racetec.net/results/racelogo/19723/19723_30.jpg,Marathon International,http://results.scorenow.co.id/myresults.aspx?uid=19723-30-5-46191,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30
5,1003,JAMES MUNYI MAREGU,02:40:46,OPEN,5,Male,5,Central Celebes Marathon,https://images.racetec.net/results/racelogo/19723/19723_30.jpg,Marathon International,http://results.scorenow.co.id/myresults.aspx?uid=19723-30-5-46182,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30
6,1002,PURITY JELIMO SEREM,03:06:01,OPEN,1,Female,1,Central Celebes Marathon,https://images.racetec.net/results/racelogo/19723/19723_30.jpg,Marathon International,http://results.scorenow.co.id/myresults.aspx?uid=19723-30-5-46181,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30
7,1016,IRENE JEPTOO,03:07:04,OPEN,2,Female,2,Central Celebes Marathon,https://images.racetec.net/results/racelogo/19723/19723_30.jpg,Marathon International,http://results.scorenow.co.id/myresults.aspx?uid=19723-30-5-46195,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30
8,1018,MONICA WATETU NDIRITU,03:12:58,OPEN,3,Female,3,Central Celebes Marathon,https://images.racetec.net/results/racelogo/19723/19723_30.jpg,Marathon International,http://results.scorenow.co.id/myresults.aspx?uid=19723-30-5-46197,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30
9,1008,REBECCA JEROTICH TALLAM,03:16:10,OPEN,4,Female,4,Central Celebes Marathon,https://images.racetec.net/results/racelogo/19723/19723_30.jpg,Marathon International,http://results.scorenow.co.id/myresults.aspx?uid=19723-30-5-46187,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30
10,1014,NENGSIH SAMADY,04:26:48,OPEN,5,Female,5,Central Celebes Marathon,https://images.racetec.net/results/racelogo/19723/19723_30.jpg,Marathon International,http://results.scorenow.co.id/myresults.aspx?uid=19723-30-5-46193,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30
11,1013,RUDIANAYAH,05:11:28,OPEN,6,Male,6,Central Celebes Marathon,https://images.racetec.net/results/racelogo/19723/19723_30.jpg,Marathon International,http://results.scorenow.co.id/myresults.aspx?uid=19723-30-5-46192,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30
