Pos,Race No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,race_name,race_large_logo,race_category,runner_id,race_link
1,1017,STEPHEN MUGAMBI,02:26:48,Marathon Open,1,Male,1,Kenya,BUKOPIN MAKASSAR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_32.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-32-1-55844,http://results.scorenow.co.id/results.aspx?CId=19723&RId=32
2,1011,BERNARD MWENDIA MUTHONI,02:28:16,Marathon Open,2,Male,2,Kenya,BUKOPIN MAKASSAR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_32.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-32-1-55838,http://results.scorenow.co.id/results.aspx?CId=19723&RId=32
3,1019,JOHN MUGI MUTHOKIA,02:28:26,Marathon Open,3,Male,3,Malaysia,BUKOPIN MAKASSAR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_32.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-32-1-55846,http://results.scorenow.co.id/results.aspx?CId=19723&RId=32
4,1006,PETER KETER,02:29:15,Marathon Open,4,Male,4,Kenya,BUKOPIN MAKASSAR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_32.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-32-1-55833,http://results.scorenow.co.id/results.aspx?CId=19723&RId=32
5,1022,HASAN ADEN GANE,02:35:52,Marathon Open,5,Male,5,Somalia,BUKOPIN MAKASSAR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_32.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-32-1-55849,http://results.scorenow.co.id/results.aspx?CId=19723&RId=32
6,1012,MARGARET WANGUI NJUGUNA,02:48:13,Marathon Open,6,Male,6,Kenya,BUKOPIN MAKASSAR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_32.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-32-1-55839,http://results.scorenow.co.id/results.aspx?CId=19723&RId=32
7,1015,CHELAGAT RISPER LAGAT,02:59:21,Marathon Open,1,Female,1,Kenya,BUKOPIN MAKASSAR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_32.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-32-1-55842,http://results.scorenow.co.id/results.aspx?CId=19723&RId=32
8,1005,HIDEKI TOMIOKA,03:54:21,Marathon Open,7,Male,7,Indonesia,BUKOPIN MAKASSAR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_32.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-32-1-55832,http://results.scorenow.co.id/results.aspx?CId=19723&RId=32
9,1004,MARIKO MURATA,04:34:01,Marathon Open,2,Female,2,Japan,BUKOPIN MAKASSAR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_32.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-32-1-55831,http://results.scorenow.co.id/results.aspx?CId=19723&RId=32
10,1003,FRANCISCO GARATE,04:42:46,Marathon Open,8,Male,8,Mexico,BUKOPIN MAKASSAR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_32.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-32-1-55830,http://results.scorenow.co.id/results.aspx?CId=19723&RId=32
11,1002,AMINK BAKRI,05:07:11,Marathon Open,9,Male,9,Indonesia,BUKOPIN MAKASSAR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_32.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-32-1-55829,http://results.scorenow.co.id/results.aspx?CId=19723&RId=32
12,1008,WILSON CHANDRA,05:48:56,Marathon Open,10,Male,10,Indonesia,BUKOPIN MAKASSAR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_32.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-32-1-55835,http://results.scorenow.co.id/results.aspx?CId=19723&RId=32
13,1031,JUSRIANTY ANTY,05:58:13,Marathon Open,3,Female,3,Indonesia,BUKOPIN MAKASSAR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_32.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-32-1-55828,http://results.scorenow.co.id/results.aspx?CId=19723&RId=32
14,1009,DUDI FIRDAUS,06:00:11,Marathon Open,11,Male,11,Indonesia,BUKOPIN MAKASSAR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_32.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-32-1-55836,http://results.scorenow.co.id/results.aspx?CId=19723&RId=32
