Pos,Race No,Name,Time,Category,Cat Pos,Gender,Gen Pos,race_name,race_large_logo,race_category,runner_id,race_link
1,5141,TEAM SMA 3 JAKARTA 2,01:40:44,Ekiden Student,1,Mixed,1,COMBI RUN,https://images.racetec.net/results/racelogo/19723/19723_39.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-39-8-63961,http://results.scorenow.co.id/results.aspx?CId=19723&RId=39
2,5011,TEAM SMA NOTRE DAME 1,01:41:47,Ekiden Student,2,Mixed,2,COMBI RUN,https://images.racetec.net/results/racelogo/19723/19723_39.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-39-8-63948,http://results.scorenow.co.id/results.aspx?CId=19723&RId=39
3,5161,TEAM MUTIARA BANGSA 2 1,01:44:41,Ekiden Student,3,Mixed,3,COMBI RUN,https://images.racetec.net/results/racelogo/19723/19723_39.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-39-8-63963,http://results.scorenow.co.id/results.aspx?CId=19723&RId=39
4,5151,TEAM SMK 29 PENERBANGAN 1,01:45:15,Ekiden Student,4,Mixed,4,COMBI RUN,https://images.racetec.net/results/racelogo/19723/19723_39.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-39-8-63962,http://results.scorenow.co.id/results.aspx?CId=19723&RId=39
5,5171,TEAM SMA NOTRE DAME 2,01:48:45,Ekiden Student,5,Mixed,5,COMBI RUN,https://images.racetec.net/results/racelogo/19723/19723_39.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-39-8-63964,http://results.scorenow.co.id/results.aspx?CId=19723&RId=39
6,5081,TEAM SMA KANISIUS&TARAKANITA 2,01:59:51,Ekiden Student,6,Mixed,6,COMBI RUN,https://images.racetec.net/results/racelogo/19723/19723_39.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-39-8-63955,http://results.scorenow.co.id/results.aspx?CId=19723&RId=39
7,5031,TEAM SMK 29 PENERBANGAN 2,02:04:33,Ekiden Student,7,Mixed,7,COMBI RUN,https://images.racetec.net/results/racelogo/19723/19723_39.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-39-8-63950,http://results.scorenow.co.id/results.aspx?CId=19723&RId=39
8,5111,TEAM MUTIARA BANGSA 2 2,02:05:02,Ekiden Student,8,Mixed,8,COMBI RUN,https://images.racetec.net/results/racelogo/19723/19723_39.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-39-8-63958,http://results.scorenow.co.id/results.aspx?CId=19723&RId=39
9,5061,TEAM SMA HANG TUAH 2,02:05:20,Ekiden Student,9,Mixed,9,COMBI RUN,https://images.racetec.net/results/racelogo/19723/19723_39.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-39-8-63953,http://results.scorenow.co.id/results.aspx?CId=19723&RId=39
10,5261,TEAM HANG TUAH1,02:05:21,Ekiden Student,10,Mixed,10,COMBI RUN,https://images.racetec.net/results/racelogo/19723/19723_39.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-39-8-63973,http://results.scorenow.co.id/results.aspx?CId=19723&RId=39
