Pos,Race No,Name,Time,Net Time,Category,Cat Pos,Gender,Gen Pos,Country,race_name,race_large_logo,race_category,runner_id,race_link
351,30998,Ryoo Jae Hoon,01:25:59,01:25:32,ALL AGES,233,Male,233,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-70207,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
352,30097,Dimas Nugroho,01:26:02,01:25:35,ALL AGES,234,Male,234,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69306,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
353,30881,Nur Hidayat,01:26:08,01:24:25,ALL AGES,235,Male,235,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-70090,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
354,30867,Jamalul Lail,01:26:09,01:25:10,ALL AGES,236,Male,236,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-70076,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
355,30592,Febriani Sulistyaningsih,01:26:11,01:24:08,ALL AGES,119,Female,119,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69801,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
356,30754,Suryanto Witono,01:26:25,01:22:54,ALL AGES,237,Male,237,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69963,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
357,30858,Aldo Restu Agi Prananda1,01:26:29,01:24:53,ALL AGES,120,Female,120,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-70067,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
358,30221,Rahmat Hidayat,01:26:38,01:24:51,ALL AGES,238,Male,238,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69430,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
359,30784,Reza Zahra Permat Intan,01:26:57,01:26:11,ALL AGES,121,Female,121,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69993,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
360,30770,Yuliandari Rahmawati Hidayat,01:26:57,01:23:43,ALL AGES,122,Female,122,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69979,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
361,30674,Russell Yoel Sahusilawane,01:27:06,01:25:09,ALL AGES,239,Male,239,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69883,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
362,30829,Roni Wahyu,01:27:07,01:26:40,ALL AGES,123,Female,123,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-70038,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
