Pos,Race No,Name,Time,Net Time,Category,Cat Pos,Gender,Gen Pos,race_name,race_large_logo,race_category,runner_id,race_link
501,40221,Roni Ardiansyah,06:01:45,06:01:18,INDONESIAN,280,Male,436,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70440,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
502,40928,Hendi Pangestu,06:01:45,06:01:19,INDONESIAN,281,Male,437,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-71147,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
503,41197,Framantara,06:02:16,06:01:56,INDONESIAN,282,Male,438,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-71416,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
504,40846,Antonius Tomy Trinugroho,06:02:49,06:00:51,MASTER,156,Male,439,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-71065,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
505,40075,Khusnul Khotimah,06:02:58,06:01:27,INDONESIAN,38,Female,66,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70294,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
506,40628,Satria Widiarta,06:03:05,06:02:19,INDONESIAN,283,Male,440,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70847,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
507,40465,Hadi Wijaya,06:03:10,06:01:36,INDONESIAN,284,Male,441,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70684,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
508,40020,Boedhiono Putra,06:03:14,06:02:11,MASTER,157,Male,442,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70239,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
509,40146,Faisal Ichwan Azali,06:03:14,06:02:00,INDONESIAN,285,Male,443,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70365,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
510,40133,M JaFar Shodiq,06:03:22,06:01:05,INDONESIAN,286,Male,444,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70352,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
511,40707,Refaldo Fanther,06:03:36,06:03:06,INDONESIAN,287,Male,445,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70926,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
512,40282,Alfi Syariana,06:03:55,06:01:38,INDONESIAN,39,Female,67,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70501,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
513,40283,Muthmainnah Amri,06:03:55,06:01:38,INDONESIAN,40,Female,68,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70502,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
514,40893,Alex Oentoro,06:04:05,06:04:05,MASTER,158,Male,446,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-71112,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
515,40300,Veroniaty,06:04:06,06:02:41,INDONESIAN,41,Female,69,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70519,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
