Pos,Race No,Name,Time,Net Time,Category,Cat Pos,Gender,Gen Pos,race_name,race_large_logo,race_category,runner_id,race_link
202,20328,Jonathan Nico Tandu,01:02:37,01:00:28,Nasional Male,126,Male,165,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78359,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
203,20686,Iksan Kharisma Permana,01:02:38,01:02:23,Nasional Male,127,Male,166,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78717,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
204,20719,Eka Raharjeng Aprilianti,01:02:38,01:02:22,Nasional Female,24,Female,38,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78750,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
205,20435,Maria Kristiyanti B,01:02:40,01:02:33,Female MASTER,5,Female,39,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78466,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
206,21069,Dino Jayusman,01:02:41,01:02:05,Nasional Male,128,Male,167,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-79100,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
207,20661,Gusti Agung Dwijaya Paramartha,01:02:47,01:02:08,Nasional Male,129,Male,168,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78692,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
208,20861,Novi Kurniawan,01:02:50,01:02:32,Nasional Male,130,Male,169,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78892,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
209,20965,Eva Jati Astuti,01:02:51,01:01:47,Nasional Female,25,Female,40,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78996,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
210,20193,Setiawan Hananto P,01:02:51,01:02:14,Nasional Male,131,Male,170,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78224,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
211,20392,Muhammad Nur Aziz,01:02:54,01:02:46,Nasional Male,132,Male,171,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78423,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
212,20002,Artha Listya,01:02:59,01:02:46,Female MASTER,6,Female,41,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78033,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
213,21049,Nanda Dwi Dayana,01:03:12,01:01:43,Nasional Male,133,Male,172,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-79080,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
214,20776,Agustinus Setyawan,01:03:35,01:03:24,Male MASTER,30,Male,173,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78807,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
215,20337,Oke Hariyanto,01:03:42,01:02:35,Male MASTER,31,Male,174,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78368,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
216,20175,Dwi Puji Lestari,01:03:43,01:03:40,Nasional Female,26,Female,42,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78206,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
217,20382,Sukadi,01:03:47,01:03:36,Male MASTER,32,Male,175,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78413,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
218,21074,Yudha Krisna Satria,01:03:49,01:03:35,Nasional Male,134,Male,176,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-79105,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
219,20746,Andy Pradityo,01:03:53,01:03:04,Nasional Male,135,Male,177,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78777,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
220,20947,Felicianus Ochatani,01:03:53,01:02:16,Nasional Male,136,Male,178,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78978,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
221,20632,Rahayu Setyaningsih,01:03:56,01:03:52,Female MASTER,7,Female,43,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78663,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
222,20633,Nuryanto,01:03:56,01:03:52,Male MASTER,33,Male,179,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78664,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
223,20083,Ardi,01:04:02,01:03:51,Nasional Male,137,Male,180,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78114,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
224,20735,Khanifah,01:04:05,01:04:00,Female MASTER,8,Female,44,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78766,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
225,21033,Nanang Taufiqurrahman,01:04:14,01:02:45,Nasional Female,27,Female,45,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-79064,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
226,20962,Muhamad Luthfan Khanif,01:04:14,01:02:47,Nasional Male,138,Male,181,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78993,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
227,20346,Muhamad Maslak,01:04:15,01:04:12,Male MASTER,34,Male,182,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78377,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
228,21130,Wahyu Widarbo,01:04:17,01:03:41,Nasional Male,139,Male,183,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-79161,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
229,20101,Anggih Anggoro,01:04:30,01:03:43,Nasional Male,140,Male,184,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78132,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
230,20908,Bagus Yudha Prasetyo,01:04:35,01:04:32,Nasional Male,141,Male,185,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78939,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
231,20502,Antonius Tatit Pulonggana,01:04:38,01:04:28,Nasional Male,142,Male,186,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78533,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
232,20616,Reynold Andika,01:04:40,01:02:45,Nasional Male,143,Male,187,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78647,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
233,20016,Kiswasono Jd,01:04:41,01:03:33,Male MASTER,35,Male,188,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78047,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
234,20307,Oke,01:04:43,01:04:32,Male MASTER,36,Male,189,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78338,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
235,20123,Rini Restyawati,01:04:54,01:04:45,Female MASTER,9,Female,46,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78154,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
236,21152,Paskalis Adi Februanto,01:04:54,01:03:53,Nasional Male,144,Male,190,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-79183,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
237,21277,Robby Sunantha,01:04:58,01:04:16,Male MASTER,37,Male,191,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-79308,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
238,20211,Berti Oktavian,01:05:00,01:04:44,Nasional Female,28,Female,47,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78242,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
239,21010,Muhammad Khoirul Rizki,01:05:00,01:04:30,Nasional Male,145,Male,192,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-79041,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
240,20402,Suharto,01:05:09,01:05:01,Male MASTER,38,Male,193,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78433,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
241,20254,Ratna,01:05:09,01:05:01,Female MASTER,10,Female,48,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78285,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
242,21276,Iskandar Toha,01:05:10,01:04:29,Male MASTER,39,Male,194,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-79307,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
243,21042,Mugi Pamungkas,01:05:15,01:03:17,Nasional Male,146,Male,195,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-79073,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
244,20656,Dicky Zulkarnain,01:05:20,01:05:12,Male MASTER,40,Male,196,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78687,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
245,20608,Indra Prasetya Nugraha Hasmedy,01:05:20,01:05:09,Nasional Male,147,Male,197,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78639,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
246,20949,Robert Adrian Hartawan,01:05:22,01:05:12,Nasional Male,148,Male,198,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78980,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
247,20831,Galih Zhafiria Pratama,01:05:26,01:04:45,Nasional Male,149,Male,199,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78862,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
248,20176,Muchammad Isromi,01:05:29,01:05:16,Nasional Male,150,Male,200,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78207,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
249,20352,Yuangga Hardika Putra,01:05:31,01:05:25,Nasional Male,151,Male,201,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78383,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
250,21151,Indra Kurnia Gunawan,01:05:32,00:57:40,Nasional Male,152,Male,202,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-79182,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
251,20024,Bintang Nugraha Kasaluri Satrianingwang,01:05:43,01:05:35,Nasional Male,153,Male,203,Semarang 10K,http://results.scorenow.co.id/Images/Clients/19723.png,10K Nasional,http://results.scorenow.co.id/myresults.aspx?uid=19723-42-2-78055,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42
