Pos,Race No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,race_name,race_large_logo,race_category,runner_id,race_link
1,1,Ivan Vlasenko,02:12:42,Top 3 Overall Male,1,Male,1,Russia,Bengkulu Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-44-1-80704,http://results.scorenow.co.id/results.aspx?CId=19723&RId=44
2,2,Dedi Pristyoko,02:14:45,Top 3 Overall Male,2,Male,2,Indonesia,Bengkulu Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-44-1-80705,http://results.scorenow.co.id/results.aspx?CId=19723&RId=44
3,30,Muh Taufik,02:15:42,Top 3 Overall Male,3,Male,3,Indonesia,Bengkulu Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-44-1-80733,http://results.scorenow.co.id/results.aspx?CId=19723&RId=44
4,29,Albert Wijaya,02:15:43,Male 18 - 27 yo,1,Male,4,Indonesia,Bengkulu Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-44-1-80732,http://results.scorenow.co.id/results.aspx?CId=19723&RId=44
5,22,Ady Akhmad Jukardi,02:23:30,Male 28 - 38 yo,1,Male,5,Indonesia,Bengkulu Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-44-1-80725,http://results.scorenow.co.id/results.aspx?CId=19723&RId=44
6,27,Nethavani Octaria,02:27:25,Top 3 Overall Female,1,Female,1,Indonesia,Bengkulu Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-44-1-80730,http://results.scorenow.co.id/results.aspx?CId=19723&RId=44
7,28,Rosanna Bille,02:27:35,Top 3 Overall Female,2,Female,2,Great Britain,Bengkulu Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-44-1-80731,http://results.scorenow.co.id/results.aspx?CId=19723&RId=44
8,6,Inge Prasetyo,02:30:59,Top 3 Overall Female,3,Female,3,Indonesia,Bengkulu Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-44-1-80709,http://results.scorenow.co.id/results.aspx?CId=19723&RId=44
9,20,Rizal Batubara,02:39:08,Male 18 - 27 yo,2,Male,6,Indonesia,Bengkulu Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-44-1-80723,http://results.scorenow.co.id/results.aspx?CId=19723&RId=44
10,3,M Ani Heru Wijanarko,02:41:54,Male 39 Plus yo,1,Male,7,Indonesia,Bengkulu Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-44-1-80706,http://results.scorenow.co.id/results.aspx?CId=19723&RId=44
11,19,Mochammad Ridwan,02:43:57,Male 18 - 27 yo,3,Male,8,Indonesia,Bengkulu Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-44-1-80722,http://results.scorenow.co.id/results.aspx?CId=19723&RId=44
12,21,Juaratta Nm Sianturi,02:46:37,Male 28 - 38 yo,2,Male,9,Indonesia,Bengkulu Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-44-1-80724,http://results.scorenow.co.id/results.aspx?CId=19723&RId=44
13,16,Christian Purwadihardja,02:57:09,Male 18 - 27 yo,4,Male,10,Indonesia,Bengkulu Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-44-1-80719,http://results.scorenow.co.id/results.aspx?CId=19723&RId=44
14,25,Ruli Tobing,02:58:53,Male 39 Plus yo,2,Male,11,Indonesia,Bengkulu Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-44-1-80728,http://results.scorenow.co.id/results.aspx?CId=19723&RId=44
15,7,Helen Tan,03:00:21,Female 39 Plus yo,1,Female,4,Indonesia,Bengkulu Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-44-1-80710,http://results.scorenow.co.id/results.aspx?CId=19723&RId=44
16,12,Abdul Wahib Situmorang,03:35:11,Male 39 Plus yo,3,Male,12,Indonesia,Bengkulu Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-44-1-80715,http://results.scorenow.co.id/results.aspx?CId=19723&RId=44
17,9,Dewi Prihatina,03:40:46,Female 39 Plus yo,2,Female,5,Indonesia,Bengkulu Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-44-1-80712,http://results.scorenow.co.id/results.aspx?CId=19723&RId=44
18,26,Mochamad Yusuf Gunawan,03:40:46,Male 39 Plus yo,4,Male,13,Indonesia,Bengkulu Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-44-1-80729,http://results.scorenow.co.id/results.aspx?CId=19723&RId=44
19,11,Yoshida Aditiawarman,03:47:04,Male 28 - 38 yo,3,Male,14,Indonesia,Bengkulu Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-44-1-80714,http://results.scorenow.co.id/results.aspx?CId=19723&RId=44
20,13,HERRIAS YUSMAWAN,04:07:15,Male 39 Plus yo,5,Male,15,Indonesia,Bengkulu Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-44-1-80716,http://results.scorenow.co.id/results.aspx?CId=19723&RId=44
21,15,Christian Aldrianic Rengkung,04:15:35,Male 39 Plus yo,6,Male,16,Indonesia,Bengkulu Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-44-1-80718,http://results.scorenow.co.id/results.aspx?CId=19723&RId=44
