Pos,Race No,Name,Time,Category,Cat Pos,Gender,Gen Pos,race_name,race_large_logo,race_category,runner_id,race_link
1,1536,Muhammad,03:43:27,Top 3 Overall,1,Male,1,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82877,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
2,1034,Michael Anthes,03:48:35,Top 3 Overall,2,Male,2,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82666,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
3,67,Juwanto Reza,03:56:24,Top 3 Overall,3,Male,3,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82858,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
4,1038,Taylor Price,03:56:24,MALE 18 - 39,1,Male,4,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82669,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
5,1582,Dealton Nur Arif Prayogo,03:56:28,MALE 18 - 39,2,Male,5,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82922,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
6,1540,Bambang Suryadi,03:58:48,MALE 18 - 39,3,Male,6,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82881,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
7,979,Riko Bayu Setiawan,04:00:34,MALE 18 - 39,4,Male,7,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82619,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
8,1534,Hariyadi,04:00:34,MALE 18 - 39,5,Male,8,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82875,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
9,171,Fatahillah Adbullah,04:02:13,MALE 18 - 39,6,Male,9,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-81981,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
10,668,Alex Sng,04:02:13,MALE 18 - 39,7,Male,10,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82349,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
11,1421,Frederick Murtanu,04:02:13,MALE 18 - 39,8,Male,11,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82828,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
12,1380,Rian Setiawan,04:07:35,MALE 18 - 39,9,Male,12,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82804,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
13,669,Purwantoro Toro,04:07:35,MALE 18 - 39,10,Male,13,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82350,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
14,279,Arif Agustian,04:08:40,MALE 18 - 39,11,Male,14,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82085,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
15,187,Ridwan Ridho,04:12:03,MALE 18 - 39,12,Male,15,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-81997,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
16,1548,Eko Setiawan,04:14:50,MALE 18 - 39,13,Male,16,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82889,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
17,1352,Shafrifat Nandamulya,04:16:50,MALE 18 - 39,14,Male,17,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82776,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
18,1379,Aldi Tri Wibowo,04:19:48,MALE 18 - 39,15,Male,18,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82803,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
19,1547,Erlangga Adam A,04:19:49,MALE 18 - 39,16,Male,19,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82888,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
20,1378,Bayu Kristanto,04:19:49,MALE 40 - 44,1,Male,20,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82802,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
21,1524,Dewa Hutomo Aji,04:19:49,MALE 18 - 39,17,Male,21,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82866,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
22,144,Nyee Fai Lee,04:27:07,MALE 18 - 39,18,Male,22,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-81956,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
23,990,Camilo Delgdillo,04:28:30,MALE 18 - 39,19,Male,23,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82629,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
24,428,Subhan Tasikmalaya,04:29:31,MALE 18 - 39,20,Male,24,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82181,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
25,440,Yudi Tjandra,04:30:52,MALE 18 - 39,21,Male,25,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82191,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
26,622,Edi Liem,04:31:41,MALE 50 - 54,1,Male,26,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82310,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
27,416,Bobby Kurniawan,04:37:36,MALE 18 - 39,22,Male,27,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82178,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
28,1,Muhammad Fadli,04:37:38,MALE 18 - 39,23,Male,28,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-81867,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
29,660,Della Olivia Silviana,04:37:40,Top 3 Overall,1,Female,1,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82342,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
30,664,Rizki Rahman Destiananta,04:37:40,MALE 18 - 39,24,Male,29,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82346,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
31,1501,Agus Gustaman,04:38:30,MALE 45 - 49,1,Male,30,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82838,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
32,71,Peter Collis,04:39:05,MALE 45 - 49,2,Male,31,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-81911,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
