Pos,Race No,Name,Time,Gender,Gen Pos,race_name,race_large_logo,race_category,runner_id,race_link
51,806,Bambang Seto,03:58:17,Male,48,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-2-82478,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
52,1579,Hero Tjokroardi,04:00:21,Male,49,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-2-82919,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
53,482,Daruning Jaya,04:02:03,Male,50,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-2-82230,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
54,951,Al Ridla,04:02:47,Male,51,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-2-82603,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
55,239,Abidin Nuhung,04:03:52,Male,52,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-2-82049,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
56,1298,Roland Minez,04:04:56,Male,53,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-2-82730,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
57,691,Joni Harsono,04:05:05,Male,54,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-2-82371,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
58,356,Pieter Lydian,04:05:30,Male,55,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-2-82148,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
59,1285,Suwito Cbc,04:07:23,Male,56,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-2-82717,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
60,1569,Ressy Sandrina,04:07:32,Female,4,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-2-82910,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
