Pos,Race No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,race_name,race_large_logo,race_category,runner_id,race_link
1,499,Arron Robertson,00:59:11,Top 3 Overall Male,1,Male,1,,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-87279,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
2,252,Dwiangga Kusumo,01:01:03,Top 3 Overall Male,2,Male,2,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-87032,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
3,165,Jordan Koppenberger,01:02:12,Top 3 Overall Male,3,Male,3,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-86945,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
4,172,Sacha Roeykens,01:02:24,MALE -18,1,Male,4,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-86952,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
5,171,Laurent Roeykens,01:05:20,MALE 40 - 44,1,Male,5,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-86951,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
6,193,Francisco De Benito,01:05:32,MALE 55 - 59,1,Male,6,Spain,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-86973,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
7,234,James Kalleske,01:05:35,MALE 30 - 34,1,Male,7,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-87014,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
8,261,Gabriele Altini,01:06:21,MALE 50 - 54,1,Male,8,Italy,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-87041,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
9,496,John f Blyther,01:06:34,MALE 55 - 59,2,Male,9,,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-87276,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
10,118,Putu Luwung Sindunata,01:06:42,Top 3 Overall Female,1,Female,1,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-86898,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
11,277,Indra Permana Kantawibawa,01:07:33,MALE 25 - 29,1,Male,10,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-87057,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
12,150,Mark Jackman,01:07:55,MALE 40 - 44,2,Male,11,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-86930,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
13,200,Nick Redfearn,01:08:08,MALE 50 - 54,2,Male,12,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-86980,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
14,166,Roy Kurniawan Wijaya,01:09:44,MALE 25 - 29,2,Male,13,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-86946,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
15,235,Michal Bursik,01:09:59,MALE 55 - 59,3,Male,14,Slovakia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-87015,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
16,149,Anang Makruf,01:09:59,MALE 30 - 34,2,Male,15,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-86929,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
