Pos,Race No,Name,Time,Category,Gender,Gen Pos,Country,Laps,Fastest Lap,Slowest Lap,Average Lap,race_name,race_large_logo,race_category,runner_id,race_link
1,6025,TEAM DOUBLE D,02:49:53,All Ages,Mixed,1,,15,00:09:53,00:13:37,00:11:19,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-3-88615,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
2,6017,TEAM BUYUNG,02:50:42,All Ages,Mixed,2,,14,00:10:27,00:14:39,00:12:11,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-3-88611,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
3,6023,TEAM SRB SEMINYAK THREE,02:52:15,All Ages,Mixed,3,,12,00:12:11,00:17:46,00:14:21,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-3-88614,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
4,6027,TEAM THE BROTHERS,02:55:41,All Ages,Mixed,4,,12,00:12:03,00:18:13,00:14:38,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-3-88616,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
5,6013,TEAM NUSA DUA RUNNER,02:44:24,All Ages,Mixed,5,,11,00:12:23,00:19:12,00:14:56,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-3-88609,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
6,6015,TEAM PRAST & DAISUKE,02:44:40,All Ages,Mixed,6,,11,00:12:22,00:19:27,00:14:58,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-3-88610,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
7,6021,TEAM SRB SEMINYAK TWO,02:38:54,All Ages,Mixed,7,,10,00:12:05,00:21:24,00:15:53,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-3-88613,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
8,6009,TEAM NUSA DUA RUNNER,02:44:28,All Ages,Mixed,8,,10,00:12:24,00:26:29,00:16:26,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-3-88607,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
9,6011,TEAM BANGJUL,02:44:56,All Ages,Mixed,9,,10,00:13:18,00:23:09,00:16:29,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-3-88608,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
10,6005,TEAM DENTIST RUNNER,02:47:05,All Ages,Mixed,10,,10,00:14:58,00:18:20,00:16:42,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-3-88605,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
11,6007,TEAM SPLENDOR,02:11:28,All Ages,Mixed,11,,8,00:13:24,00:20:03,00:16:26,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-3-88606,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
12,6003,TEAM JASRIN,02:38:48,All Ages,Mixed,12,,8,00:17:03,00:22:08,00:19:51,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-3-88604,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
13,6019,TEAM SRB SEMINYAK ONE,02:38:57,All Ages,Mixed,13,,8,00:17:27,00:22:20,00:19:52,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-3-88612,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
14,6001,TEAM COCOMEO,02:40:17,All Ages,Mixed,14,,8,00:16:09,00:23:19,00:20:02,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-3-88603,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
