Pos,Race No,Last Name,Time,Runner 1,Runner 2,Runner 3,Runner 4,race_name,race_large_logo,race_category,runner_id,race_link
351,265,TAKENAKA 6,01:08:44,RAQWAN JOI,YAMAMOTO MASASHI,YANTO NURUL FADLI,GIYANTO,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92177,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
352,94,OBAYASHI 8,01:08:46,HARIADI,FAUZI,OGASAWARA,ITSUKI,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92010,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
353,148,PAPAYA TEAM BLOKM,01:08:48,REZA FAHLEVI,NASRUL FAUZAN,KARTIKA NUR HAYATI,KAZUO ICHIHARA,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92064,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
354,70,ANA 9,01:08:48,KEN GOTO,LEONY D,ARDJUNA S,REYNALDI,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-91986,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
355,12,PANIN DAI ICHI LIFE 7,01:08:50,NICO LAUS,ARI IRAWAN,SINAR SIMAMORA,MICHIAKI WADA,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-91928,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
356,466,TEAM KOMORI,01:08:51,HIROSHI KOMORI,ASTER SITOHANG,SYAHRUL PRASETYO,DEDE SUHENDRA,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92378,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
357,209,MIZUHOBALIMOR5,01:08:51,DADAN HERMAWAN,HIROFUMI YAMASHITA,GILANG WAHYU WARDANA,RICKY RAFAEL TARIGAN,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92121,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
358,558,SUZUKI MEGA CARRY,01:08:52,KAI YUSUKE,IVAN YOLIGA,MUHAMAD FAISAL ERSHA,YENNY MAHARANI,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92470,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
359,436,TG JAKARTA3,01:08:53,KEISUKE ITO,PUSPA SARI,DINI USWATUN,HIROYUKI OHNISHI,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92348,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
360,81,MC 10,01:08:54,MAKOTO KASAHARA,DENDI NURACHMAN,FAIQ AFKARI PRIMADIKA,DENI RAHARJO,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-91997,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
