Pos,Race No,Name,Time,Category,Cat Pos,Gender,Gen Pos,race_name,race_large_logo,race_category,runner_id,race_link
1,8011,TEAM Ngebut 1,01:15:37,Ekiden Community,1,Mixed,1,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden Community,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-2-95894,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
2,8171,Team CEO Runners,01:19:53,Ekiden Community,2,Mixed,2,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden Community,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-2-95910,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
3,8021,TEAM Ngebut 2,01:24:05,Ekiden Community,3,Mixed,3,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden Community,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-2-95895,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
4,8041,Team Senayan Runners Male,01:28:25,Ekiden Community,4,Mixed,4,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden Community,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-2-95897,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
5,8031,Team Senayan Runners Female,01:32:15,Ekiden Community,5,Mixed,5,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden Community,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-2-95896,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
6,8071,Team Kipchoge,01:40:36,Ekiden Community,6,Mixed,6,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden Community,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-2-95900,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
7,8061,Team Kimetto,01:41:27,Ekiden Community,7,Mixed,7,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden Community,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-2-95899,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
8,8051,Team Bekele,01:44:20,Ekiden Community,8,Mixed,8,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden Community,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-2-95898,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
9,8111,Team Combi Runner 2,01:46:32,Ekiden Community,9,Mixed,9,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden Community,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-2-95904,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
10,8181,Team RushRunners,01:49:07,Ekiden Community,10,Mixed,10,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden Community,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-2-95911,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
11,8151,Team Horee BCA,01:51:40,Ekiden Community,11,Mixed,11,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden Community,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-2-95908,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
12,8081,Team SUPERLEG RUNNERS,01:59:15,Ekiden Community,12,Mixed,12,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden Community,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-2-95901,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
13,8161,Team WeRunJKT,02:16:56,Ekiden Community,13,Mixed,13,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden Community,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-2-95909,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
14,8121,Team Combi Runner 1,02:17:16,Ekiden Community,14,Mixed,14,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden Community,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-2-95905,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
15,8101,Team Combi Runner 3,02:32:45,Ekiden Community,15,Mixed,15,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden Community,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-2-95903,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
