Pos,Race No,Name,Time,Category,Cat Pos,Gender,Gen Pos,race_name,race_large_logo,race_category,runner_id,race_link
1,7051,Team CRA SMK Perguruan Cikini Jakarta,01:39:42,Ekiden Student,1,Mixed,1,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-8-95883,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
2,7011,Team CRA SMA Mutiara Bangsa 2,01:39:43,Ekiden Student,2,Mixed,2,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-8-95879,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
3,7081,Team CRA SMAN 3 Jakarta,01:42:00,Ekiden Student,3,Mixed,3,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-8-95886,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
4,7071,Team CRA SMA Hang Tuah,01:47:01,Ekiden Student,4,Mixed,4,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-8-95885,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
5,7101,Team CRA SMKN 29 Penerbangan,01:53:12,Ekiden Student,5,Mixed,5,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-8-95888,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
6,7091,Team CRA SMKN 6 Jakarta,01:53:17,Ekiden Student,6,Mixed,6,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-8-95887,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
7,7021,Team CRA SMA Stella Maris,01:54:30,Ekiden Student,7,Mixed,7,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-8-95880,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
8,7111,Team CRA SMA Notre Dame,02:04:21,Ekiden Student,8,Mixed,8,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-8-95889,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
9,7151,Team CRA SMA Saint John s Serpong,02:06:56,Ekiden Student,9,Mixed,9,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-8-95893,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
10,7061,Team CRA Tarki 1 PL,02:09:09,Ekiden Student,10,Mixed,10,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-8-95884,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
11,7031,Team CRA SMK Jakarta Pusat 1,02:10:24,Ekiden Student,11,Mixed,11,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-8-95881,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
12,7041,Team CRA SMA Yadika 10 Kosambi,02:16:02,Ekiden Student,12,Mixed,12,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-8-95882,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
13,7141,Team CRA PL Tarki 1,02:26:43,Ekiden Student,13,Mixed,13,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,20K Ekiden School,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-8-95892,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
