Pos,Race No,Name,Time,Category,Cat Pos,Gender,Gen Pos,race_name,race_large_logo,race_category,runner_id,race_link
51,5982,Dimas A Nugroho,00:26:52,5K,21,Male,39,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-98898,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
52,5570,Jenty Ali,00:27:06,Female Master 40+,7,Female,13,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-98486,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
53,5446,Muhamad Zulfiqor,00:27:26,5K,22,Male,40,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-98362,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
54,5588,Toni Rahayu,00:27:34,5K,23,Male,41,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-98504,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
55,5540,Chin Fatt Soh,00:27:36,5K,24,Male,42,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-98456,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
56,5007,Feris Yulianto,00:27:41,5K,25,Male,43,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-97923,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
57,5318,Saeful Mumin,00:27:52,5K,26,Male,44,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-98234,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
58,5021,Ivonne Retno Chandrasari,00:27:57,Female Master 40+,8,Female,14,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-97937,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
59,5661,Didi Permadi,00:28:05,Male Master 40+,16,Male,45,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-98577,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
60,5657,Hisyam Haidarrahman,00:28:09,5K,27,Male,46,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-98573,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
61,5719,Maria Suparno,00:28:15,Female Master 40+,9,Female,15,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-98635,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
62,5005,Heni Suryadi,00:28:15,Female Master 40+,10,Female,16,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-97921,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
63,5764,Tito Fairuz Nuriadi,00:28:33,5K,28,Male,47,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-98680,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
64,6089,Ade Yulianto,00:28:34,5K,29,Male,48,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-99005,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
65,5838,Shafiera Herdatami,00:28:39,5K,4,Female,17,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-98754,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
66,5231,Willy Tandauli,00:28:46,Male Master 40+,17,Male,49,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-98147,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
67,5335,Abdilah Bakti,00:28:53,Male Master 40+,18,Male,50,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-98251,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
68,5914,Muhamad Saladin,00:29:14,5K,30,Male,51,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-98830,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
69,5407,Muhammad Sulthan,00:29:16,5K,31,Male,52,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-98323,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
70,5440,Susana Sianturi,00:29:17,5K,5,Female,18,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-98356,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
71,5338,Heru Purnomo,00:29:23,Male Master 40+,19,Male,53,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-98254,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
72,5775,Kalvin Liang,00:29:25,Male Master 40+,20,Male,54,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-98691,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
73,5913,Edi Setiawan,00:29:27,5K,32,Male,55,Combi Run,https://images.racetec.net/results/racelogo/19723/19723_63.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-63-4-98829,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63
