Pos,Race No,Name,Time,Gender,Gen Pos,race_name,race_large_logo,race_category,runner_id,race_link
601,1714,TAM 5,03:21:03,Male,520,Astra Half Marathon,http://results.scorenow.co.id/Images/Clients/19723.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-67-3-99759,http://results.scorenow.co.id/results.aspx?CId=19723&RId=67
602,1128,Thomas Quantero,03:21:19,Male,521,Astra Half Marathon,http://results.scorenow.co.id/Images/Clients/19723.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-67-3-99174,http://results.scorenow.co.id/results.aspx?CId=19723&RId=67
603,1765,DIKA 1,03:21:31,Male,522,Astra Half Marathon,http://results.scorenow.co.id/Images/Clients/19723.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-67-3-99810,http://results.scorenow.co.id/results.aspx?CId=19723&RId=67
604,1106,Hermanto Chandra,03:22:24,Male,523,Astra Half Marathon,http://results.scorenow.co.id/Images/Clients/19723.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-67-3-99152,http://results.scorenow.co.id/results.aspx?CId=19723&RId=67
605,1107,Honey,03:22:32,Female,82,Astra Half Marathon,http://results.scorenow.co.id/Images/Clients/19723.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-67-3-99153,http://results.scorenow.co.id/results.aspx?CId=19723&RId=67
606,1536,Ramon Faisal Litaay,03:22:42,Male,524,Astra Half Marathon,http://results.scorenow.co.id/Images/Clients/19723.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-67-3-99581,http://results.scorenow.co.id/results.aspx?CId=19723&RId=67
607,1218,Heriyanto,03:24:27,Male,525,Astra Half Marathon,http://results.scorenow.co.id/Images/Clients/19723.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-67-3-99264,http://results.scorenow.co.id/results.aspx?CId=19723&RId=67
608,1396,Ito Purwanto Sadjugo,03:24:39,Male,526,Astra Half Marathon,http://results.scorenow.co.id/Images/Clients/19723.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-67-3-99442,http://results.scorenow.co.id/results.aspx?CId=19723&RId=67
609,1622,Sandi Susanto,03:24:44,Male,527,Astra Half Marathon,http://results.scorenow.co.id/Images/Clients/19723.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-67-3-99667,http://results.scorenow.co.id/results.aspx?CId=19723&RId=67
610,1207,Anry Suryanto Pangloli,03:25:24,Male,528,Astra Half Marathon,http://results.scorenow.co.id/Images/Clients/19723.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-67-3-99253,http://results.scorenow.co.id/results.aspx?CId=19723&RId=67
611,1620,Henny Lestari,03:25:49,Female,83,Astra Half Marathon,http://results.scorenow.co.id/Images/Clients/19723.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-67-3-99665,http://results.scorenow.co.id/results.aspx?CId=19723&RId=67
612,1587,Rita Sukmawangi,03:26:25,Female,84,Astra Half Marathon,http://results.scorenow.co.id/Images/Clients/19723.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-67-3-99632,http://results.scorenow.co.id/results.aspx?CId=19723&RId=67
613,1221,Chandra Lowanto,03:29:06,Male,529,Astra Half Marathon,http://results.scorenow.co.id/Images/Clients/19723.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-67-3-99267,http://results.scorenow.co.id/results.aspx?CId=19723&RId=67
614,1306,Ariesandy Yusuf,03:29:31,Male,530,Astra Half Marathon,http://results.scorenow.co.id/Images/Clients/19723.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-67-3-99352,http://results.scorenow.co.id/results.aspx?CId=19723&RId=67
615,1394,Ibnu Fauzan,03:29:47,Male,531,Astra Half Marathon,http://results.scorenow.co.id/Images/Clients/19723.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-67-3-99440,http://results.scorenow.co.id/results.aspx?CId=19723&RId=67
616,1392,Dian Yunitasari,03:30:05,Female,85,Astra Half Marathon,http://results.scorenow.co.id/Images/Clients/19723.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-67-3-99438,http://results.scorenow.co.id/results.aspx?CId=19723&RId=67
