Pos,Race No,Name,Time,Category,Cat Pos,Gender,Country,race_name,race_large_logo,race_category,runner_id,race_link
51,2179,M Saher Sanusi Rauf,02:00:27,HM National,33,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11310,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
52,2396,Rusdi,02:00:49,HM National,34,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11527,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
53,2266,RAHMAN BUKELI,02:00:57,HM National,35,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11397,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
54,2447,Faisal Januar Mustari,02:01:00,HM National,36,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11577,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
55,2448,Ayatul Rakhman,02:01:00,HM National,37,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11578,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
56,2169,Juanda,02:01:02,HM National,38,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11300,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
57,2349,NHOLDY REGINALD PUNUS,02:01:05,HM National,39,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11480,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
58,2208,Stephanus Ignatius Poluan,02:01:18,HM MASTER 45+,6,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11339,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
59,2226,Surya Djafar,02:01:21,HM National,40,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11357,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
60,2214,JACK TONNY EDUARD POLUAN,02:01:30,HM National,41,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11345,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
