Pos,Race No,Name,Time,Category,Cat Pos,Gender,Country,race_name,race_large_logo,race_category,runner_id,race_link
1,1031,John Muiruri Mburu,01:05:18,HM Open,1,Male,Kenya,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11130,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
2,1013,Joseph mwangi Ngare,01:06:57,HM Open,2,Male,Kenya,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11113,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
3,1003,David kibet,01:07:17,HM Open,3,Male,Kenya,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11103,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
4,1011,ESTHER WAMBUI KARIMI,01:16:57,HM Open,1,Female,Kenya,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11111,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
5,1015,Alice muthoni koigi,01:21:52,HM Open,2,Female,Kenya,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11115,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
6,1032,Pamela Chepkoech Bundotich,01:24:31,HM Open,3,Female,Kenya,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11131,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
7,1008,Irmayana,02:00:54,HM Open,4,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11108,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
8,1012,Desmanto Ginting,02:02:21,HM Open,5,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11112,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
9,1027,Purbo sasongko,02:04:49,HM Open,6,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11126,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
10,1021,Zuzannawati,02:16:15,HM Open,4,Female,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11120,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
11,1018,Ambo Dalle,02:17:43,HM Open,7,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11117,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
12,1014,Alfarwan Zubeidi,02:18:56,HM Open,8,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11114,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
13,1020,Edward Perdana Putra,02:19:37,HM Open,9,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11119,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
14,1022,Willem lukman,02:26:18,HM Open,10,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11121,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
15,1009,Alim Bahri,02:29:10,HM Open,11,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11109,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
16,1029,Muhammad Faisal As Saddiky,02:35:27,HM Open,12,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11128,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
17,1002,AWALUDDIN NARA,02:35:41,HM Open,13,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11102,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
18,1016,Shahrukh Alamri,02:36:07,HM Open,14,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11116,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
19,1023,ANDI HARNI RISKHA,02:44:26,HM Open,5,Female,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11122,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
20,1019,Helmi faisal,02:45:16,HM Open,15,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11118,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
21,1025,Muhammad Ridwan,02:48:25,HM Open,16,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11124,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
22,1024,FAKHRUDDIN,02:50:26,HM Open,17,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11123,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
23,1026,Muhammad Zaky Syamsalam,02:52:54,HM Open,18,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-1-11125,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
