Pos,Race No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,race_name,race_large_logo,race_category,runner_id,race_link
801,22734,ANDI APRILIYANTO,02:32:46,INDONESIAN,637,Male,675,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-118862,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
802,21117,NIA FEBRIYANTI,02:32:47,INDONESIAN,117,Female,127,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-117356,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
803,23735,SUAIB AMIR,02:32:48,INDONESIAN,638,Male,676,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-119797,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
804,22287,ADRIAN SANTOSO LESMANA,02:32:54,INDONESIAN,639,Male,677,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-118428,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
805,22747,ROSYIDAN,02:32:56,INDONESIAN,640,Male,678,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-118875,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
806,20079,ANGKKY FITRA AGUSTIA,02:33:01,INDONESIAN,641,Male,679,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-116351,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
807,23413,STEVEN LEONARDO,02:33:03,INDONESIAN,642,Male,680,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-119501,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
808,22531,WIDYA RIZQI UTAMI,02:33:03,INDONESIAN,118,Female,128,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-118666,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
809,22512,DANI ANJAYA,02:33:05,INDONESIAN,643,Male,681,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-118647,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
810,20069,STEFANUS RADITYA PURBA,02:33:06,INDONESIAN,644,Male,682,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-116343,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
811,20163,NOVIAN ERI KUSUMA,02:33:08,INDONESIAN,645,Male,683,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-116429,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
812,20980,MYRNA AMELIA,02:33:08,INDONESIAN,119,Female,129,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-117227,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
813,20774,KUNCORO DWI ATMOJO,02:33:08,INDONESIAN,646,Male,684,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-117026,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
814,20370,TRI TIARSIH WIDASARI,02:33:09,INDONESIAN,120,Female,130,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-116632,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
815,23986,LENNARD PARLEVLIET,02:33:11,OVERALL,36,Male,685,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-119929,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
816,25530,SIGI WIMALA,02:33:12,INDONESIAN,121,Female,131,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-120214,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
817,22427,TEDDY WAHYU RAHMANTO,02:33:14,INDONESIAN,647,Male,686,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-118563,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
818,23664,A WEMPI SAPUTRA,02:33:15,INDONESIAN,648,Male,687,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-119727,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
819,22717,YANUAR DWI RAMADHAN,02:33:17,INDONESIAN,649,Male,688,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-118846,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
820,22358,LENNY SUSANTY,02:33:19,INDONESIAN,122,Female,132,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-118497,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
821,25547,TEGUH SETIAWAN,02:33:25,INDONESIAN,650,Male,689,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-120231,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
822,20614,EDDY GANDAKUSUMA,02:33:26,INDONESIAN,651,Male,690,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-116870,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
823,21529,HADI JUMIANTO,02:33:35,INDONESIAN,652,Male,691,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_66.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-66-3-117740,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66
