Pos,Race No,Name,Time,Category,Cat Pos,Gender,Gen Pos,race_name,race_large_logo,race_category,runner_id,race_link
1,12,Betmen Manurung,02:42:25,All Ages,1,Male,1,BOROBUDUR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_100.png,Men's Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-100-1-134820,http://results.scorenow.co.id/results.aspx?CId=19723&RId=100
2,8,Suwandi,02:43:43,All Ages,2,Male,2,BOROBUDUR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_100.png,Men's Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-100-1-134816,http://results.scorenow.co.id/results.aspx?CId=19723&RId=100
3,2,Hamdan Syafril Sayuti,02:45:15,All Ages,3,Male,3,BOROBUDUR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_100.png,Men's Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-100-1-134810,http://results.scorenow.co.id/results.aspx?CId=19723&RId=100
4,14,Eldak Kafolamau,02:47:17,All Ages,4,Male,4,BOROBUDUR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_100.png,Men's Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-100-1-134822,http://results.scorenow.co.id/results.aspx?CId=19723&RId=100
5,10,Imam Mahdin,02:49:02,All Ages,5,Male,5,BOROBUDUR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_100.png,Men's Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-100-1-134818,http://results.scorenow.co.id/results.aspx?CId=19723&RId=100
6,1,Asma Bara,02:50:13,All Ages,6,Male,6,BOROBUDUR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_100.png,Men's Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-100-1-134809,http://results.scorenow.co.id/results.aspx?CId=19723&RId=100
7,15,Nugroho,02:51:27,All Ages,7,Male,7,BOROBUDUR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_100.png,Men's Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-100-1-134823,http://results.scorenow.co.id/results.aspx?CId=19723&RId=100
8,16,Nurshodiq,02:54:07,All Ages,8,Male,8,BOROBUDUR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_100.png,Men's Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-100-1-134824,http://results.scorenow.co.id/results.aspx?CId=19723&RId=100
9,7,Robi Syianturi,03:07:27,All Ages,9,Male,9,BOROBUDUR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_100.png,Men's Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-100-1-134815,http://results.scorenow.co.id/results.aspx?CId=19723&RId=100
10,4,Welman D Pasaribu,03:07:38,All Ages,10,Male,10,BOROBUDUR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_100.png,Men's Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-100-1-134812,http://results.scorenow.co.id/results.aspx?CId=19723&RId=100
11,13,Try Sutrisno,03:13:46,All Ages,11,Male,11,BOROBUDUR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_100.png,Men's Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-100-1-134821,http://results.scorenow.co.id/results.aspx?CId=19723&RId=100
12,9,Muhammad Ady Saputra,03:14:59,All Ages,12,Male,12,BOROBUDUR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_100.png,Men's Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-100-1-134817,http://results.scorenow.co.id/results.aspx?CId=19723&RId=100
13,6,Rudi Febriade,03:16:03,All Ages,13,Male,13,BOROBUDUR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_100.png,Men's Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-100-1-134814,http://results.scorenow.co.id/results.aspx?CId=19723&RId=100
14,18,Amri Wahyudin,03:33:31,All Ages,14,Male,14,BOROBUDUR MARATHON,https://images.racetec.net/results/racelogo/19723/19723_100.png,Men's Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-100-1-134826,http://results.scorenow.co.id/results.aspx?CId=19723&RId=100
