Pos,Race No,Name,Time,Gender,Gen Pos,race_name,race_large_logo,race_category,runner_id,race_link
201,13419,FERDINAN HIDAYAT,15:58:32,Male,167,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135657,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
202,13074,HARIONO FRIDIAN EKO SETIAWAN,16:03:56,Male,168,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135691,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
203,13832,ANNIDA ANASTIANI,16:04:07,Female,35,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135498,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
204,13464,AGUNG SAPUTRO,16:07:38,Male,169,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135452,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
205,13397,BUDI SUHARTONO,16:09:45,Male,170,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135538,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
206,13848,FROILAN III ARROFO,16:10:01,Male,171,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135671,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
207,13031,TRIA TANGKUDUNG,16:11:57,Female,36,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135957,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
208,13931,RAHMI YULI,16:12:56,Female,37,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135865,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
209,14248,MAHRITA RUSBI,16:14:50,Female,38,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135781,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
210,13605,REZA R,16:15:49,Male,172,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135878,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
211,13685,TEDY CEN,16:16:03,Male,173,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135949,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
212,13902,AMI AMALIA AGUNG,16:17:02,Female,39,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135479,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
213,13324,DEDDIE TAUFIK,16:18:45,Male,174,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135569,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
214,13466,RIZKI YOGATAMA,16:19:09,Male,175,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135895,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
215,14203,ISABELLA MINARDO,16:19:39,Female,40,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135728,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
216,12853,RORO ANINDYA,16:22:20,Female,41,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135906,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
217,12965,BERLIN,16:22:27,Male,176,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135529,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
218,13408,LIZA FARIDA,16:22:37,Female,42,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135770,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
219,13909,ISTIANTI AMANDA,16:27:39,Female,43,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135729,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
220,13968,PUTRI TAMARA,16:29:34,Female,44,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135856,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
221,12973,MASESAR RAMDHANY,16:30:21,Male,177,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135791,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
222,12826,HUDA FADHLULLAH,16:31:20,Male,178,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135704,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
223,13607,GALUH PUSPHA AYU,16:31:47,Female,45,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135675,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
224,14067,KARINA ARININGSIH,16:32:26,Female,46,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135748,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
225,14030,ARRI PRIMA YASON PUTRA,16:32:38,Male,179,Nusantarun Chapter 8 Virtual Challenge,http://results.scorenow.co.id/Images/Clients/19723.png,119KM Virtual Challenge,http://results.scorenow.co.id/myresults.aspx?uid=19723-102-1-135512,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102
