Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,CP 1 - KM 4,Pace,CP 2 - KM 8,Pace,Finish,Pace,race_name,race_large_logo,race_category,runner_id,race_link
751,M4626,ASIK DERMAWAN,01:31:32.603,NATIONAL,544,Male,556,00:36:08.860,9:05 min/km,00:35:52.170,9:02 min/km,00:19:16.467,9:09 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151491,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
752,P4580,MONIKA LINTANG RETNANI,01:31:33.067,NATIONAL,175,Female,185,00:35:24.560,8:52 min/km,00:36:15.133,8:58 min/km,00:19:48.753,9:09 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151445,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
753,M4413,EDI HERTANTO,01:31:33.997,NATIONAL,545,Male,557,00:32:19.537,8:27 min/km,00:36:32.867,8:47 min/km,00:21:10.250,9:09 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151278,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
754,P4748,ELSIE RULLIA DIANI,01:31:34.133,NATIONAL,176,Female,186,00:35:56.733,9:15 min/km,00:35:00.593,9:00 min/km,00:19:30.250,9:09 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151613,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
755,M4976,HARRY SANTOSO,01:31:35.900,NATIONAL,546,Male,558,00:39:25.050,10:24 min/km,00:32:38.320,9:17 min/km,00:17:19.847,9:09 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151841,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
756,M5092,NICO JAYA PUTRA,01:31:36.123,NATIONAL,547,Male,559,00:39:22.950,10:24 min/km,00:32:48.440,9:18 min/km,00:17:09.887,9:09 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151957,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
757,P4272,SRI YUMIATI,01:31:37.283,NATIONAL,177,Female,187,00:36:34.193,9:15 min/km,00:34:50.657,8:59 min/km,00:19:45.183,9:09 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151137,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
758,P5064,THERESIA YULIA ADRIANI,01:31:37.523,NATIONAL,178,Female,188,00:36:49.290,9:27 min/km,00:35:14.083,9:08 min/km,00:18:31.513,9:09 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151929,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
759,M5290,VD RS,01:31:38.107,NATIONAL,548,Male,560,00:35:27.523,9:08 min/km,00:36:35.320,9:08 min/km,00:18:30.467,9:09 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-152146,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
760,P5185,MEITRI DELFIZA,01:31:39.920,NATIONAL,179,Female,189,00:34:54.860,9:12 min/km,00:35:01.967,8:59 min/km,00:19:46.860,9:09 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-152050,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
761,P4836,RIRIS ORELIA,01:31:41.050,NATIONAL,180,Female,190,00:34:56.077,9:10 min/km,00:34:43.070,8:55 min/km,00:20:14.047,9:10 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151701,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
762,M4498,YOYOK SUBAGIONO,01:31:41.067,NATIONAL,549,Male,561,00:36:09.850,9:07 min/km,00:35:41.503,9:01 min/km,00:19:31.477,9:10 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151363,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
763,P5123,NUR HUTAMI BUDIARTI,01:31:42.067,NATIONAL,181,Female,191,00:38:36.177,9:52 min/km,00:34:39.407,9:15 min/km,00:17:34.657,9:10 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151988,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
764,P4259,ARDANING SANDRAWATI,01:31:43.013,NATIONAL,182,Female,192,00:36:28.497,9:11 min/km,00:35:29.040,9:01 min/km,00:19:28.060,9:10 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151124,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
765,P4458,DINA AMIRA SARTIKA,01:31:43.307,NATIONAL,183,Female,193,00:33:11.237,8:48 min/km,00:36:37.270,8:58 min/km,00:19:51.563,9:10 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151323,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
766,M5202,DWI ARIF IKHWANTO,01:31:44.433,NATIONAL,550,Male,562,00:35:54.990,9:23 min/km,00:34:18.680,8:59 min/km,00:19:50.003,9:10 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-152058,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
767,5608,10K PANDARA 3,01:31:46.487,NATIONAL,6,Unknown,12,00:49:01.917,12:15 min/km,00:28:02.993,9:38 min/km,00:14:41.577,9:10 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-152473,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
768,M4095,DADANG SEPTIANTO,01:31:54.970,NATIONAL,551,Male,563,00:34:43.973,8:43 min/km,00:38:08.690,9:07 min/km,00:18:52.707,9:11 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-150960,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
769,P4869,LENNY KESUMA,01:31:54.990,NATIONAL,184,Female,194,00:34:43.480,8:43 min/km,00:38:08.853,9:07 min/km,00:18:52.453,9:11 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151734,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
770,5607,10K PANDARA 2,01:31:58.093,NATIONAL,7,Unknown,13,00:35:14.237,9:22 min/km,00:35:00.513,9:03 min/km,00:19:27.340,9:11 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-152472,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
771,M4027,GASALI RAHMAWAN,01:31:59.407,NATIONAL,552,Male,564,00:36:00.707,9:15 min/km,00:35:46.490,9:05 min/km,00:19:11.887,9:11 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-150892,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
772,P4647,AZKA NADIA,01:32:00.403,NATIONAL,185,Female,195,00:36:10.053,9:35 min/km,00:34:15.140,9:04 min/km,00:19:24.547,9:12 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151512,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
