Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,CP 1 - KM 3.97,Pace,CP 2 - KM 17,Pace,CP 3 - KM 21.1,Pace,CP 4 - KM 32,Pace,Finish,Pace,race_name,race_large_logo,race_category,runner_id,race_link
51,C1197,PULUNGGONO NONO,04:44:35.610,MASTER NATIONAL,15,Male,46,00:25:43.560,6:32 min/km,01:28:08.937,6:42 min/km,00:25:05.473,6:35 min/km,01:11:20.410,6:34 min/km,01:14:03.087,6:44 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-2-149012,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
52,B1047,ASEP MUHAMAD DENI,04:46:11.763,NATIONAL,20,Male,47,00:23:20.387,5:55 min/km,01:26:25.360,6:28 min/km,00:24:51.983,6:23 min/km,01:15:47.317,6:34 min/km,01:15:35.753,6:46 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-2-148862,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
53,C1211,FAHMI ROKHYADI,04:46:30.110,MASTER NATIONAL,16,Male,48,00:23:31.190,5:56 min/km,01:22:06.280,6:12 min/km,00:23:53.450,6:08 min/km,01:18:41.140,6:30 min/km,01:18:15.407,6:47 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-2-149026,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
54,C1020,PAL PALGUNADI,04:46:37.007,MASTER NATIONAL,17,Male,49,00:19:35.937,4:58 min/km,01:15:36.950,5:36 min/km,00:22:53.953,5:36 min/km,01:23:12.467,6:17 min/km,01:25:08.040,6:47 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-2-148835,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
55,C1195,HAMIDI SOETOPO,04:50:15.783,MASTER NATIONAL,18,Male,50,00:21:42.563,5:28 min/km,01:13:26.763,5:35 min/km,00:21:04.150,5:30 min/km,01:05:40.960,5:41 min/km,01:48:21.347,6:52 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-2-149010,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
56,C1213,EKO CAHYONO,04:51:06.757,MASTER NATIONAL,19,Male,51,00:22:14.960,5:36 min/km,01:21:02.003,6:04 min/km,00:25:59.610,6:07 min/km,01:23:03.767,6:38 min/km,01:18:44.527,6:53 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-2-149028,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
57,B1266,PRIHANDIKA BAGUS RISANTIYO,04:51:23.407,NATIONAL,21,Male,52,00:26:58.727,6:53 min/km,01:31:45.353,7:00 min/km,00:25:21.837,6:50 min/km,01:11:20.903,6:44 min/km,01:15:32.270,6:54 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-2-149075,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
58,F1126,MILA MARLINA,04:51:26.703,Top 5 Marathon National,3,Female,6,00:24:41.207,6:14 min/km,01:29:08.877,6:42 min/km,00:24:48.447,6:34 min/km,01:15:07.450,6:41 min/km,01:17:34.260,6:54 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-2-148941,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
59,C1058,SUDARSONO SUDARSONO,04:51:27.323,MASTER NATIONAL,20,Male,53,00:24:14.127,6:08 min/km,01:28:07.983,6:37 min/km,00:25:54.767,6:33 min/km,01:15:45.083,6:41 min/km,01:17:16.477,6:54 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-2-148873,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
60,B1247,MOHAMAD ADIB,04:51:31.803,NATIONAL,22,Male,54,00:28:07.720,7:11 min/km,01:29:15.120,6:55 min/km,00:26:35.213,6:50 min/km,01:11:24.763,6:44 min/km,01:15:45.570,6:54 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-2-149062,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
