Pos,Bib No,Name,Net Time,Category,Net Cat Pos,Second Cat,Gender,Country,"CP1 - KM 39,56","CP2 - KM 62,5",Finish Split Time,race_name,race_large_logo,race_category,runner_id,race_link
51,1020,Bona Fithrah,02:52:45,M 45-49,7,,Male,Indonesia,01:16:36,00:56:26,00:39:43,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158437,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
52,1019,Riyana Kadarsari,02:52:45,W 45-49,2,,Female,Indonesia,01:17:23,00:55:39,00:39:41,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158436,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
53,1005,Romy Soewarto,02:52:46,M 40-44,5,,Male,Indonesia,01:11:33,00:54:35,00:46:37,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158422,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
54,1086,Gandhi Ahimsaputra,02:52:48,M 40-44,6,,Male,Indonesia,01:17:13,00:49:35,00:45:59,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158503,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
55,1018,Adrian Kristiawan,02:52:52,M 40-44,7,,Male,Indonesia,01:11:22,00:53:13,00:48:16,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158435,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
56,1021,Christine Tambunan,02:52:54,W 18-34,5,,Female,Indonesia,01:22:58,00:52:58,00:36:57,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158438,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
57,1085,Bunga Anindya,02:52:58,W 35-39,6,,Female,Indonesia,01:17:24,00:49:35,00:45:58,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158502,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
58,1002,Ni Nyoman Taman Sari,02:53:07,W 45-49,3,,Female,Indonesia,01:19:06,00:50:50,00:43:11,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158419,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
59,1029,Heindradi Harjanto,02:53:59,M 40-44,8,,Male,Indonesia,01:16:08,00:53:33,00:44:18,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158446,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
60,1082,Bernhard Simanjuntak,02:54:09,M 50-54,5,,Male,Indonesia,01:20:12,00:52:20,00:41:36,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158499,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
