Pos,Race No,Name,Time,Gender,Gen Pos,Finish,race_name,race_large_logo,race_category,runner_id,race_link
1,123,Abdul Soleh,00:56:27,Male,1,00:56:26,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Elite,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-1-193202,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
2,110,Muhammad Abdurrohman,00:56:32,Male,2,00:56:32,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Elite,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-1-193189,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
3,116,Ahmad yoga ilham firdaus,00:56:48,Male,3,00:56:47,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Elite,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-1-193195,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
4,128,ILHAM DZIKRI RAMADHAN,00:56:48,Male,4,00:56:47,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Elite,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-1-193207,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
5,111,Muhammad Raihan maulidan,00:57:08,Male,5,00:57:06,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Elite,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-1-193190,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
6,129,Agung ali sahbana,00:57:15,Male,6,00:57:14,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Elite,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-1-193208,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
7,114,Sandy Nur Hasan,00:57:58,Male,7,00:57:57,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Elite,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-1-193193,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
8,125,Marcus,00:58:13,Male,8,00:58:13,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Elite,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-1-193204,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
9,106,Chendy septyan,00:58:37,Male,9,00:58:35,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Elite,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-1-193185,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
10,126,tri mulandi,00:59:03,Male,10,00:59:03,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Elite,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-1-193205,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
11,120,Yosandy,00:59:13,Male,11,00:59:12,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Elite,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-1-193199,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
12,105,Pande Made Jaya Sedana Putra,00:59:13,Male,12,00:59:13,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Elite,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-1-193184,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
13,127,AdeMeisa,00:59:46,Male,13,00:59:45,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Elite,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-1-193206,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
14,118,Kevin,01:00:02,Male,14,01:00:01,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Elite,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-1-193197,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
