Pos,Race No,Name,Time,Gender,Gen Pos,Finish,race_name,race_large_logo,race_category,runner_id,race_link
1,202,Muhammad Farrel Alfaridzi,01:00:41,Male,1,01:00:39,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Junior,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-2-193227,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
2,205,Chenda Ramdani,01:00:48,Male,2,01:00:45,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Junior,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-2-193230,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
3,206,Muhammad nur hasyim,01:00:54,Male,3,01:00:50,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Junior,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-2-193231,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
4,208,Wayan ardika,01:02:14,Male,4,01:02:12,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Junior,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-2-193233,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
5,212,Hazel maheswara,01:08:17,Male,5,01:08:12,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Junior,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-2-193237,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
6,204,Dimas Tegar Bagaskara,01:08:45,Male,6,01:08:41,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Junior,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-2-193229,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
7,201,RAFLI PUTRA BAHRIZKI,01:12:52,Male,7,01:12:49,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Junior,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-2-193226,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
8,211,Putu Arya Deva,01:14:38,Male,8,01:14:35,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Junior,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-2-193236,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
9,210,Syafwan Gani islam,01:15:58,Male,9,01:15:55,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Junior,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-2-193235,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
10,209,Yoga putra harviansyah,01:17:16,Male,10,01:17:13,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Junior,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-2-193234,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
11,213,Agus adhi dhananjaya,01:23:29,Male,11,01:23:11,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Junior,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-2-193238,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
,203,Dylan Patrick Willyam,DNS,Male,,,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Junior,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-2-193228,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
,207,Naufal Faris Taufiqulhakim,DNS,Male,,,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Junior,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-2-193232,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
