Pos,Race No,Name,Time,Gender,Gen Pos,Finish,race_name,race_large_logo,race_category,runner_id,race_link
1,322,Taufik Walhidayah,01:00:11,Male,1,00:59:53,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master A,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-3-193267,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
2,310,Firman Hidayat,01:02:31,Male,2,01:02:13,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master A,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-3-193255,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
3,304,Kasiono hadi,01:04:05,Male,3,01:03:48,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master A,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-3-193249,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
4,320,Jasper kuizenga,01:04:49,Male,4,01:04:32,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master A,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-3-193265,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
5,316,Sukriadi,01:05:14,Male,5,01:05:01,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master A,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-3-193261,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
6,303,Arif wijoseno,01:09:14,Male,6,01:08:55,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master A,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-3-193248,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
7,306,Dode Indra,01:10:34,Male,7,01:10:17,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master A,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-3-193251,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
8,315,Lalu fresnadi,01:16:20,Male,8,01:16:05,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master A,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-3-193260,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
9,317,I Made Suardana,01:17:39,Male,9,01:17:25,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master A,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-3-193262,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
10,318,I Made Dedy Suaryawan,01:17:57,Male,10,01:17:41,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master A,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-3-193263,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
11,313,Kadek budiarsa,01:22:19,Male,11,01:21:57,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master A,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-3-193258,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
12,308,Krisna,01:24:07,Male,12,01:23:51,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master A,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-3-193253,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
13,301,Antonius Christopher T,01:24:20,Male,13,01:24:04,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master A,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-3-193246,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
14,311,Putu Nicho Nopriadi,01:25:04,Male,14,01:24:48,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master A,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-3-193256,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
15,314,Alif Muslikhin,01:25:34,Male,15,01:25:17,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master A,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-3-193259,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
16,302,Theo Yulianto,01:27:16,Male,16,01:26:57,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master A,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-3-193247,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
,305,Roy Hartono,DNS,Male,,,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master A,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-3-193250,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
,307,Teddy Gunawan,DNS,Male,,,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master A,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-3-193252,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
,309,Rahmat Wahyudi,DNS,Male,,,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master A,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-3-193254,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
,312,Kadek mangku roni setiawan,DNS,Male,,,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master A,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-3-193257,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
,319,Haris Prasojo,DNS,Male,,00:57:14,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master A,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-3-193264,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
,321,Purnama Hadi Kurniawan,DNS,Male,,,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master A,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-3-193266,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
