Pos,Race No,Name,Time,Gender,Gen Pos,Finish,race_name,race_large_logo,race_category,runner_id,race_link
1,406,Frederick murtanu,01:05:02,Male,1,01:05:02,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master B,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-4-193278,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
2,411,Juwanto,01:07:19,Male,2,01:07:19,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master B,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-4-193283,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
3,407,Agus Willyam,01:07:24,Male,3,01:07:24,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master B,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-4-193279,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
4,401,Roy,01:07:35,Male,4,01:07:35,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master B,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-4-193273,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
5,404,Viktor hadi,01:09:15,Male,5,01:09:15,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master B,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-4-193276,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
6,428,Slamet efendi,01:10:13,Male,6,01:10:13,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master B,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-4-193300,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
7,408,Kadek widiana,01:11:41,Male,7,01:11:41,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master B,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-4-193280,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
8,409,Bagus gede susana,01:14:24,Male,8,01:14:24,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master B,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-4-193281,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
9,416,Timotius Hadiyanto,01:18:24,Male,9,01:18:24,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master B,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-4-193288,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
10,421,I Ketut Agustina,01:18:58,Male,10,01:18:58,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master B,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-4-193293,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
11,422,I MADE KARANG,01:19:32,Male,11,01:19:32,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men Master B,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-4-193294,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
