Pos,Race No,Name,Time,Gender,Gen Pos,Finish,race_name,race_large_logo,race_category,runner_id,race_link
1,501,Dendra,01:01:06,Male,1,01:01:06,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men youth,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-5-193302,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
2,515,I Gede Eka Sudharma Putra,01:06:07,Male,2,01:06:03,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men youth,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-5-193316,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
3,507,Wildan Anggara Putra,01:07:49,Male,3,01:07:46,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men youth,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-5-193308,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
4,514,Berdan Alberz H,01:08:17,Male,4,01:08:13,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men youth,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-5-193315,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
5,518,Abid Pradipta suardi,01:08:34,Male,5,01:08:31,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men youth,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-5-193319,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
6,506,Bagus Panji Putra Cakrawala,01:08:59,Male,6,01:08:54,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men youth,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-5-193307,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
7,503,MAHENDRA,01:09:32,Male,7,01:09:30,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men youth,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-5-193304,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
8,525,Gaffaar raafi al afghani,01:09:33,Male,8,01:09:32,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men youth,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-5-193326,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
9,509,I KADEK DWI ARTAGUNA,01:11:00,Male,9,01:10:57,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men youth,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-5-193310,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
10,513,Muhammad Zaky Avianto,01:13:45,Male,10,01:13:42,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men youth,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-5-193314,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
11,522,Muhamad Rayyan Fathullah,01:14:33,Male,11,01:14:30,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men youth,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-5-193323,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
12,517,I Wayan wira sukanta,01:14:47,Male,12,01:14:43,Raja Gunug Bali,https://images.racetec.net/results/racelogo/19723/19723_147.jpg,Men youth,http://results.scorenow.co.id/myresults.aspx?uid=19723-147-5-193318,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147
