Pos,Bib No,Name,Laps,Time,Gender,Gen Pos,Country,Fastest Lap,Slowest Lap,Average Lap,Start,race_name,race_large_logo,race_category,runner_id,race_link
1,7005 & 7006,Team MelancaRunn,51,02:57:19,Mixed,1,Indonesia,00:02:57,00:04:04,00:03:28,00:00:03,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,Relay 3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-3-193709,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
2,7013 & 7014,TEAM B I M A R U N N E R S,51,02:58:29,Mixed,2,Indonesia,00:03:08,00:03:55,00:03:29,00:00:04,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,Relay 3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-3-193713,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
3,7007 & 7008,Team RunOn Bali,49,02:56:07,Mixed,3,Indonesia,00:02:57,00:05:05,00:03:35,00:00:03,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,Relay 3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-3-193710,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
4,7019 & 7020,Team RescueRunners,43,02:57:53,Mixed,4,Indonesia,00:03:31,00:08:08,00:04:08,00:00:06,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,Relay 3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-3-193716,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
5,7011 & 7012,Team FK JAYA,42,02:57:17,Mixed,5,Indonesia,00:03:06,00:05:13,00:04:13,00:00:03,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,Relay 3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-3-193712,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
6,7025 & 7026,Team ISANATION,41,02:59:44,Mixed,6,Indonesia,00:03:23,00:05:11,00:04:23,00:00:04,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,Relay 3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-3-193719,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
7,7023 & 7024,Team Driyok,36,02:58:34,Mixed,7,Indonesia,00:03:55,00:08:11,00:04:57,00:00:04,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,Relay 3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-3-193718,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
8,7001 & 7002,Team Bapak Pergi Pagi Pulang Malam,34,02:13:21,Mixed,8,Indonesia,00:03:00,00:04:36,00:03:55,00:00:03,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,Relay 3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-3-193707,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
9,7021 & 7022,Team Ika,34,02:54:07,Mixed,9,Indonesia,00:03:55,00:08:11,00:05:07,00:00:06,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,Relay 3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-3-193717,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
10,7017 & 7018,Team Danke,32,02:36:38,Mixed,10,Indonesia,00:03:54,00:06:22,00:04:53,00:00:06,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,Relay 3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-3-193715,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
11,7009 & 7010,Team Seminyak Running Buddies,31,02:59:28,Mixed,11,Indonesia,00:02:17,00:07:44,00:05:47,00:00:49,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,Relay 3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-3-193711,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
12,7015 & 7016,Team TUPI,29,02:57:33,Mixed,12,Indonesia,00:02:27,00:08:27,00:06:07,00:00:18,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,Relay 3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-3-193714,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
13,7027 & 7028,Team Bank Permata,28,02:55:18,Mixed,13,Indonesia,00:04:46,00:07:45,00:06:15,00:00:28,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,Relay 3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-3-193720,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
14,7003 & 7004,Team MiMi,25,02:54:15,Mixed,14,Indonesia,00:05:25,00:19:47,00:06:58,00:00:26,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,Relay 3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-3-193708,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
