Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Start,KM 5,Finish,race_name,race_large_logo,race_category,runner_id,race_link
1,103,Rangga Alfian,00:34:59,Overall,1,Male,1,Indonesia,00:00:01,00:17:32,00:17:26,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,10K Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-4-208994,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
2,101,Muhammad Iqra Syahputra,00:35:56,Overall,2,Male,2,Indonesia,00:00:01,00:17:05,00:18:49,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,10K Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-4-208992,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
3,102,Muhardin Saputra,00:37:15,Overall,3,Male,3,Indonesia,00:00:01,00:17:51,00:19:22,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,10K Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-4-208993,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
4,108,Mohammad Andromeda Mulanda Putra,00:37:54,Overall,4,Male,4,Indonesia,00:00:00,00:18:57,00:18:55,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,10K Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-4-208999,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
5,107,Anggasta Mulky Damara,00:38:01,Overall,5,Male,5,Indonesia,00:00:01,00:18:38,00:19:20,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,10K Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-4-208998,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
6,106,Robby Wahyu Nur Cahyo,00:38:50,Overall,6,Male,6,Indonesia,00:00:01,00:19:17,00:19:31,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,10K Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-4-208997,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
7,105,Deon Parera,00:39:29,Overall,7,Male,7,Indonesia,,00:18:58,00:20:30,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,10K Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-4-208996,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
8,104,Mochamad Okky Fahriel Kharisama Wijaya,00:41:18,Overall,8,Male,8,Indonesia,00:00:01,00:20:31,00:20:45,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,10K Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-4-208995,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
9,151,Mutiara Oktarani Nurul Al Pasha,00:41:51,Overall,1,Female,1,Indonesia,00:00:01,00:21:25,00:20:23,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,10K Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-4-209003,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
10,152,Wilna Selvi,00:42:37,Overall,2,Female,2,Indonesia,,00:21:26,00:21:11,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,10K Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-4-209004,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
11,111,Yerico Geral Cannavaro Xavier,00:42:44,Overall,9,Male,9,Indonesia,00:00:01,00:20:30,00:22:12,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,10K Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-4-209002,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
12,110,Muhammad Hawin Ahada,00:44:08,Overall,10,Male,10,Indonesia,00:00:01,00:21:40,00:22:27,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,10K Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-4-209001,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
13,109,Hernando Tri Avanza Putra,00:44:41,Overall,11,Male,11,Indonesia,00:00:01,00:21:39,00:23:00,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,10K Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-4-209000,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
14,153,Shiren Febrianty,00:44:45,Overall,3,Female,3,Indonesia,00:00:01,00:21:35,00:23:08,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,10K Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-4-209005,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
15,154,Aziyyati Dina Amalina,00:46:35,Overall,4,Female,4,Indonesia,00:00:01,00:22:34,00:24:00,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,10K Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-4-209006,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
16,155,Nur Aslamiyah Irja Pasa,00:47:16,Overall,5,Female,5,Indonesia,00:00:01,00:22:52,00:24:22,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,10K Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-4-209007,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
17,157,Naura Yumna Dhau,00:50:31,Overall,6,Female,6,Indonesia,00:00:01,00:24:46,00:25:43,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,10K Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-4-209009,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
18,156,Hafiziani Adilla Narsya,00:51:06,Overall,7,Female,7,Indonesia,00:00:01,00:24:18,00:26:46,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,10K Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-4-209008,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
19,158,Nagita Yuniar Kurniasari,00:51:30,Overall,8,Female,8,Indonesia,00:00:00,00:24:17,00:27:12,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,10K Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-4-209010,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
