Fav,Pos,Bib No,Share,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Start,CP 1 - Km 4,CP 2 - Km 8,Finish,race_name,race_large_logo,race_category,runner_id,race_link
,1,M5016,,Muhammad Nur Hafidz,00:37:38,Overall,1,Male,1,Indonesia,00:00:02,00:14:18,00:15:32,00:07:45,Semarang 10K,https://images.racetec.net/results/racelogo/19723/19723_156.jpg,10K Pelajar,http://results.scorenow.co.id/myresults.aspx?uid=19723-156-2-216380,http://results.scorenow.co.id/results.aspx?CId=19723&RId=156
,2,M5014,,Deon Parera,00:42:35,Overall,2,Male,2,Indonesia,00:00:03,00:15:01,00:17:26,00:10:04,Semarang 10K,https://images.racetec.net/results/racelogo/19723/19723_156.jpg,10K Pelajar,http://results.scorenow.co.id/myresults.aspx?uid=19723-156-2-216378,http://results.scorenow.co.id/results.aspx?CId=19723&RId=156
,3,M5012,,Akbar Ardana Mario Sheva,00:44:00,Overall,3,Male,3,Indonesia,00:00:04,00:16:09,00:18:59,00:08:48,Semarang 10K,https://images.racetec.net/results/racelogo/19723/19723_156.jpg,10K Pelajar,http://results.scorenow.co.id/myresults.aspx?uid=19723-156-2-216376,http://results.scorenow.co.id/results.aspx?CId=19723&RId=156
,4,M5021,,Fernanda Adha Wirasena,00:44:17,Overall,4,Male,4,Indonesia,00:00:09,00:16:43,00:18:16,00:09:08,Semarang 10K,https://images.racetec.net/results/racelogo/19723/19723_156.jpg,10K Pelajar,http://results.scorenow.co.id/myresults.aspx?uid=19723-156-2-216385,http://results.scorenow.co.id/results.aspx?CId=19723&RId=156
,5,M5017,,Sena Andika Ambiya,00:44:34,Overall,5,Male,5,Indonesia,00:00:02,00:16:59,00:18:37,00:08:55,Semarang 10K,https://images.racetec.net/results/racelogo/19723/19723_156.jpg,10K Pelajar,http://results.scorenow.co.id/myresults.aspx?uid=19723-156-2-216381,http://results.scorenow.co.id/results.aspx?CId=19723&RId=156
,6,M5004,,Muhammad Alif Asy Syauqi Baidillah,00:46:32,Overall,6,Male,6,Indonesia,00:00:01,00:17:40,00:19:19,00:09:31,Semarang 10K,https://images.racetec.net/results/racelogo/19723/19723_156.jpg,10K Pelajar,http://results.scorenow.co.id/myresults.aspx?uid=19723-156-2-216368,http://results.scorenow.co.id/results.aspx?CId=19723&RId=156
,7,M5022,,Dimas Nur Prasetyo,00:46:45,Overall,7,Male,7,Indonesia,00:00:10,00:17:06,00:19:25,00:10:03,Semarang 10K,https://images.racetec.net/results/racelogo/19723/19723_156.jpg,10K Pelajar,http://results.scorenow.co.id/myresults.aspx?uid=19723-156-2-216386,http://results.scorenow.co.id/results.aspx?CId=19723&RId=156
,8,F5011,,Nagita Yuniar Kurniasari,00:47:29,Overall,1,Female,1,Indonesia,00:00:01,00:17:40,00:19:45,00:10:01,Semarang 10K,https://images.racetec.net/results/racelogo/19723/19723_156.jpg,10K Pelajar,http://results.scorenow.co.id/myresults.aspx?uid=19723-156-2-216375,http://results.scorenow.co.id/results.aspx?CId=19723&RId=156
,9,M5019,,Sektiono Criestiadi,00:47:44,Overall,8,Male,8,Indonesia,00:00:01,00:18:14,00:20:14,00:09:13,Semarang 10K,https://images.racetec.net/results/racelogo/19723/19723_156.jpg,10K Pelajar,http://results.scorenow.co.id/myresults.aspx?uid=19723-156-2-216383,http://results.scorenow.co.id/results.aspx?CId=19723&RId=156
,10,M5007,,Lintang Aji Aljabar,00:48:18,Overall,9,Male,9,Indonesia,00:00:04,00:17:53,00:20:27,00:09:51,Semarang 10K,https://images.racetec.net/results/racelogo/19723/19723_156.jpg,10K Pelajar,http://results.scorenow.co.id/myresults.aspx?uid=19723-156-2-216371,http://results.scorenow.co.id/results.aspx?CId=19723&RId=156
,11,F5002,,Nur Aslmiyah Irja Pasa,00:49:35,Overall,2,Female,2,Indonesia,00:00:02,00:18:26,00:20:49,00:10:18,Semarang 10K,https://images.racetec.net/results/racelogo/19723/19723_156.jpg,10K Pelajar,http://results.scorenow.co.id/myresults.aspx?uid=19723-156-2-216367,http://results.scorenow.co.id/results.aspx?CId=19723&RId=156
,12,F5013,,Syaryfa Dina Kharisma,00:49:59,Overall,3,Female,3,Indonesia,00:00:02,00:18:41,00:20:50,00:10:25,Semarang 10K,https://images.racetec.net/results/racelogo/19723/19723_156.jpg,10K Pelajar,http://results.scorenow.co.id/myresults.aspx?uid=19723-156-2-216377,http://results.scorenow.co.id/results.aspx?CId=19723&RId=156
,13,M5009,,Jovan Putra Dharma,00:52:16,Overall,10,Male,10,Indonesia,00:00:07,00:19:51,00:21:59,00:10:17,Semarang 10K,https://images.racetec.net/results/racelogo/19723/19723_156.jpg,10K Pelajar,http://results.scorenow.co.id/myresults.aspx?uid=19723-156-2-216373,http://results.scorenow.co.id/results.aspx?CId=19723&RId=156
,14,F5008,,Aziyyati Dina Amalina,00:53:26,Overall,4,Female,4,Indonesia,00:00:02,00:18:24,00:21:47,00:13:11,Semarang 10K,https://images.racetec.net/results/racelogo/19723/19723_156.jpg,10K Pelajar,http://results.scorenow.co.id/myresults.aspx?uid=19723-156-2-216372,http://results.scorenow.co.id/results.aspx?CId=19723&RId=156
,15,F5025,,Netty Silvia Padmasari,00:55:50,Overall,5,Female,5,Indonesia,00:01:29,00:21:00,00:22:22,00:10:57,Semarang 10K,https://images.racetec.net/results/racelogo/19723/19723_156.jpg,10K Pelajar,http://results.scorenow.co.id/myresults.aspx?uid=19723-156-2-216389,http://results.scorenow.co.id/results.aspx?CId=19723&RId=156
,16,M5015,,Wisnu Pradika Tama,01:00:46,Overall,11,Male,11,Indonesia,00:02:46,00:22:16,00:23:56,00:11:47,Semarang 10K,https://images.racetec.net/results/racelogo/19723/19723_156.jpg,10K Pelajar,http://results.scorenow.co.id/myresults.aspx?uid=19723-156-2-216379,http://results.scorenow.co.id/results.aspx?CId=19723&RId=156
,17,F5024,,Natasya Novelinda,01:07:09,Overall,6,Female,6,Indonesia,00:01:29,00:25:27,00:27:37,00:12:34,Semarang 10K,https://images.racetec.net/results/racelogo/19723/19723_156.jpg,10K Pelajar,http://results.scorenow.co.id/myresults.aspx?uid=19723-156-2-216388,http://results.scorenow.co.id/results.aspx?CId=19723&RId=156
,18,M5023,,Raka Selamet Nugroho,01:08:02,Overall,12,Male,12,Indonesia,00:01:42,00:28:10,00:27:22,00:10:46,Semarang 10K,https://images.racetec.net/results/racelogo/19723/19723_156.jpg,10K Pelajar,http://results.scorenow.co.id/myresults.aspx?uid=19723-156-2-216387,http://results.scorenow.co.id/results.aspx?CId=19723&RId=156
,19,M5020,,Zulal Labib Alfaros,01:08:33,Overall,13,Male,13,Indonesia,00:01:47,00:28:07,00:27:21,00:11:16,Semarang 10K,https://images.racetec.net/results/racelogo/19723/19723_156.jpg,10K Pelajar,http://results.scorenow.co.id/myresults.aspx?uid=19723-156-2-216384,http://results.scorenow.co.id/results.aspx?CId=19723&RId=156
,20,M5027,,Muhammad Ibnu Simna Arrasy,01:14:24,Overall,14,Male,14,Indonesia,,00:34:46,00:27:09,00:12:28,Semarang 10K,https://images.racetec.net/results/racelogo/19723/19723_156.jpg,10K Pelajar,http://results.scorenow.co.id/myresults.aspx?uid=19723-156-2-216391,http://results.scorenow.co.id/results.aspx?CId=19723&RId=156
,21,M5026,,Faizal Arief Yoga,01:14:45,Overall,15,Male,15,Indonesia,,00:34:45,00:27:10,00:12:49,Semarang 10K,https://images.racetec.net/results/racelogo/19723/19723_156.jpg,10K Pelajar,http://results.scorenow.co.id/myresults.aspx?uid=19723-156-2-216390,http://results.scorenow.co.id/results.aspx?CId=19723&RId=156
