Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Swim split 750m,Swim,T1,"Bike CP 1 - km 3,90","Bike CP 2 - km 9,58","Bike CP 3 - km 15,26","Bike CP 4 - km 20,94","Bike CP 5 - km 26,62","Bike CP 6 - km 32,3",Cycle,T2,"Run CP 1 - km 2,5",Run CP 2 - km 5,Run,race_name,race_large_logo,race_category,runner_id,race_link
51,175,Lamine Guendil,03:10:30,50+,10,Male,44,Malaysia,00:16:05,00:16:59,00:06:40,00:08:28,00:11:08,00:11:59,00:11:39,00:12:28,00:11:26,00:04:58,00:04:10,00:19:36,00:18:31,00:36:10,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216608,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
52,154,David Dovan,03:11:10,30-49,28,Male,45,Indonesia,00:16:05,00:17:10,00:04:41,00:11:07,00:12:03,00:12:11,00:11:44,00:12:09,00:12:22,00:05:05,00:03:00,00:17:34,00:18:23,00:37:28,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216587,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
53,173,Eduard Salvatore Pieters,03:11:16,50+,11,Male,46,Indonesia,00:20:08,00:21:04,00:05:26,00:07:24,00:10:25,00:10:31,00:12:25,00:10:48,00:11:09,00:05:09,00:04:27,00:18:05,00:16:43,00:37:17,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216606,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
54,116,Arie Prasetyo,03:13:05,30-49,29,Male,47,Indonesia,00:17:09,00:19:34,00:05:58,00:08:06,00:11:06,00:22:10,00:11:37,,,01:40:42,00:05:27,00:22:46,00:19:35,00:44:33,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216549,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
55,163,Maulana Nurhadi,03:14:37,30-49,30,Male,48,Indonesia,00:19:34,00:20:13,00:03:08,00:07:54,00:11:07,00:10:42,00:11:08,00:11:58,00:11:15,00:04:47,,02:15:44,00:17:24,00:41:29,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216596,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
56,153,Igor Volnin,03:15:12,30-49,31,Male,49,Indonesia,00:16:40,00:17:14,00:04:28,00:08:35,00:13:10,00:20:19,00:10:39,00:10:52,00:11:15,-00:46:01,00:54:17,00:15:56,00:17:33,00:40:05,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216586,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
57,134,Calvin Beale,03:17:07,30-49,32,Male,50,Indonesia,,00:29:53,00:06:21,00:09:11,00:13:00,00:13:17,00:12:27,00:13:05,00:13:27,00:05:00,00:03:27,00:21:19,00:19:21,00:37:11,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216567,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
58,170,Suwitaraga,03:17:26,50+,12,Male,51,Indonesia,00:16:51,00:17:12,00:07:17,00:07:47,00:10:41,00:11:15,00:10:28,00:11:40,00:11:08,00:04:57,00:03:32,00:22:47,00:20:38,00:41:07,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216603,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
59,176,Dominic Egger,03:17:29,30-49,33,Male,52,Thailand,,00:31:58,00:04:00,00:07:04,00:09:07,00:09:52,00:09:36,00:10:12,00:11:17,00:04:33,,02:04:39,,03:17:29,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216609,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
60,178,eri budiono,03:19:00,50+,13,Male,53,Indonesia,,00:34:06,00:05:59,00:08:13,00:10:39,00:21:23,,,,01:47:53,00:06:25,00:21:58,00:20:33,00:42:08,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216611,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
61,139,Charles Phillip Marinelli II,03:19:45,50+,14,Male,54,Indonesia,00:12:32,00:13:28,00:07:18,00:07:36,00:10:47,00:10:47,00:11:11,00:10:50,00:11:02,00:15:46,00:04:14,00:20:21,00:20:23,00:43:21,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216572,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
62,101,Henry Suwignjo,03:20:12,30-49,34,Male,55,Indonesia,00:18:00,00:18:55,00:07:03,00:08:34,00:11:55,00:12:07,00:12:44,00:12:13,00:12:26,00:04:54,00:05:03,00:20:08,00:17:02,00:38:54,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216534,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
63,111,Dimas Maulana,03:20:25,30-49,35,Male,56,Indonesia,,,00:40:51,00:19:31,,,,,,01:51:58,00:07:11,00:20:20,00:17:28,00:43:26,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216544,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
64,155,takanori kanemitsu,03:20:37,30-49,36,Male,57,Indonesia,00:18:53,,00:45:45,00:08:25,00:12:28,00:12:27,00:11:50,00:11:59,00:11:59,00:05:07,00:03:30,00:18:07,00:16:58,00:41:57,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216588,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
65,179,Ibnu Mulyanto IBeNimages,03:20:57,50+,15,Male,58,Indonesia,,00:39:08,00:05:59,00:08:49,00:11:39,00:11:44,00:11:27,00:11:32,00:12:13,00:05:00,00:02:57,00:21:57,00:18:29,00:39:58,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216612,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
66,168,Samuel Antoni Mario,03:22:52,50+,16,Male,59,Indonesia,00:24:02,00:21:55,00:05:28,00:08:24,00:11:58,00:11:30,00:12:10,00:11:38,00:11:50,00:05:11,00:03:40,00:20:02,00:17:32,00:37:17,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216601,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
67,115,Randy Kartika Yudha Sandjaja,03:23:37,30-49,37,Male,60,Indonesia,,00:38:10,00:06:22,00:08:00,00:11:25,00:11:32,00:11:27,00:11:45,00:12:01,00:04:58,00:04:18,00:23:07,00:20:19,00:40:08,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216548,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
68,191,rooy salamony,03:23:43,50+,17,Male,61,Indonesia,00:22:00,00:23:35,00:06:11,00:08:00,00:11:14,00:10:24,00:11:44,00:10:54,00:11:40,00:04:46,00:04:09,00:21:14,00:17:53,00:39:51,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216624,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
69,194,Ivonne Soenjoto,03:26:48,30-49,4,Female,8,Indonesia,00:21:22,00:22:54,00:07:36,00:07:55,00:11:23,00:11:18,00:12:14,00:11:32,00:11:37,00:04:56,00:05:07,00:20:42,00:18:38,00:39:24,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216627,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
70,119,ENDANG SUSILOWATI,03:30:05,50+,1,Female,9,Indonesia,00:19:40,00:21:34,00:05:18,00:08:14,00:11:54,00:12:01,00:11:54,00:12:11,00:11:58,00:04:56,00:03:22,00:23:09,00:19:43,00:44:03,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216552,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
71,183,Abdul Razak,03:30:31,Under 30,5,Male,62,Indonesia,00:16:47,00:18:44,00:08:20,00:08:13,00:11:46,00:11:35,00:11:52,00:12:34,00:12:45,00:05:19,00:04:05,00:23:38,00:18:58,00:45:37,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216616,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
72,117,Gary Sulistio,03:30:49,30-49,38,Male,63,Indonesia,00:15:39,00:17:05,00:05:17,00:07:39,00:10:23,00:10:12,00:10:30,00:10:25,00:10:57,00:04:27,00:06:26,00:24:34,00:24:24,00:52:36,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216550,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
73,105,Widya Permana,03:30:50,50+,18,Male,64,Indonesia,,00:39:53,00:06:21,00:07:26,00:10:34,00:10:41,00:10:48,00:11:21,00:11:32,00:04:48,00:04:56,00:22:51,00:21:13,00:48:17,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216538,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
74,109,Laila Nouvirza,03:32:27,50+,2,Female,10,Indonesia,,,00:50:49,00:08:10,00:11:55,00:10:44,00:12:21,00:11:20,00:12:20,00:05:14,00:03:26,00:22:57,00:19:21,00:43:43,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216542,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
75,182,Angky Banggaditya,03:33:45,Under 30,6,Male,65,Indonesia,00:18:00,00:20:25,00:04:52,00:08:45,00:11:46,00:11:35,00:11:53,00:12:33,00:12:45,00:05:20,00:04:07,00:25:24,00:20:55,00:45:09,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216615,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
76,135,Muhammad Harris Dwinanda,03:37:13,Under 30,7,Male,66,Indonesia,,00:38:17,00:05:40,00:07:45,00:11:29,00:11:58,00:11:37,00:11:53,00:12:00,00:04:56,00:03:53,00:21:33,,03:37:13,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216568,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
77,142,Fahriadi Fahriadi,03:37:45,30-49,39,Male,67,Indonesia,,00:35:31,00:08:41,00:09:51,00:12:03,00:11:46,00:11:46,00:12:24,00:12:24,00:05:15,00:02:48,00:25:48,00:21:27,00:47:54,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216575,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
